date,precipitation,precipitation_normal
19390701,0.00,21.86
19390702,0.51,21.97
19390703,0.78,22.07
19390704,0.80,22.18
19390705,3.81,22.28
19390706,3.81,22.39
19390707,3.82,22.50
19390708,3.82,22.62
19390709,3.82,22.74
19390710,3.82,22.87
19390711,3.82,22.99
19390712,3.82,23.10
19390713,3.82,23.21
19390714,3.82,23.33
19390715,3.82,23.45
19390716,3.82,23.56
19390717,3.82,23.68
19390718,3.82,23.80
19390719,5.05,23.92
19390720,6.24,24.05
19390721,9.70,24.17
19390722,9.72,24.30
19390723,9.72,24.42
19390724,9.72,24.55
19390725,9.91,24.68
19390726,9.91,24.82
19390727,9.91,24.95
19390728,10.03,25.08
19390729,10.35,25.22
19390730,10.53,25.36
19390731,10.58,25.50
19390801,10.58,25.65
19390802,10.58,25.81
19390803,10.70,25.96
19390804,10.70,26.12
19390805,10.74,26.27
19390806,10.74,26.42
19390807,10.81,26.56
19390808,10.81,26.69
19390809,10.81,26.83
19390810,10.81,26.97
19390811,11.06,27.10
19390812,11.56,27.24
19390813,11.91,27.39
19390814,12.03,27.54
19390815,12.04,27.68
19390816,12.04,27.82
19390817,12.63,27.96
19390818,14.51,28.10
19390819,14.51,28.24
19390820,14.51,28.39
19390821,14.51,28.53
19390822,14.51,28.68
19390823,14.51,28.82
19390824,15.16,28.96
19390825,15.17,29.09
19390826,15.17,29.23
19390827,15.19,29.36
19390828,15.20,29.49
19390829,15.20,29.61
19390830,15.20,29.73
19390831,15.33,29.85
19390901,15.33,29.97
19390902,15.38,30.09
19390903,15.38,30.21
19390904,15.50,30.33
19390905,15.51,30.45
19390906,15.51,30.57
19390907,15.51,30.69
19390908,15.51,30.81
19390909,15.51,30.93
19390910,15.51,31.04
19390911,15.51,31.15
19390912,15.51,31.27
19390913,15.76,31.40
19390914,15.76,31.53
19390915,15.76,31.66
19390916,15.76,31.79
19390917,15.76,31.91
19390918,15.76,32.03
19390919,15.76,32.15
19390920,15.76,32.26
19390921,15.76,32.38
19390922,15.76,32.50
19390923,15.76,32.63
19390924,15.76,32.75
19390925,15.76,32.88
19390926,16.13,33.01
19390927,16.20,33.15
19390928,16.20,33.29
19390929,16.20,33.42
19390930,16.20,33.56
19391001,16.79,33.68
19391002,16.79,33.80
19391003,16.79,33.92
19391004,16.79,34.05
19391005,16.79,34.17
19391006,16.79,34.29
19391007,16.79,34.41
19391008,16.79,34.52
19391009,16.79,34.63
19391010,16.79,34.74
19391011,16.79,34.84
19391012,16.88,34.94
19391013,16.88,35.04
19391014,16.88,35.13
19391015,16.88,35.23
19391016,16.88,35.33
19391017,16.88,35.43
19391018,16.88,35.53
19391019,16.88,35.63
19391020,16.88,35.73
19391021,16.88,35.83
19391022,16.88,35.92
19391023,16.88,36.01
19391024,16.88,36.11
19391025,16.88,36.19
19391026,16.88,36.27
19391027,16.88,36.36
19391028,16.88,36.44
19391029,16.88,36.53
19391030,17.08,36.63
19391031,17.28,36.72
19391101,17.28,36.83
19391102,17.28,36.93
19391103,17.28,37.04
19391104,17.30,37.14
19391105,17.30,37.25
19391106,17.30,37.35
19391107,17.30,37.46
19391108,17.30,37.57
19391109,17.30,37.69
19391110,17.30,37.80
19391111,17.30,37.91
19391112,17.37,38.03
19391113,17.37,38.14
19391114,17.37,38.25
19391115,17.37,38.36
19391116,17.37,38.48
19391117,17.37,38.59
19391118,17.46,38.71
19391119,18.27,38.82
19391120,18.46,38.93
19391121,18.50,39.05
19391122,18.51,39.16
19391123,18.51,39.27
19391124,18.51,39.38
19391125,18.53,39.50
19391126,18.53,39.61
19391127,18.53,39.71
19391128,18.53,39.82
19391129,18.53,39.92
19391130,18.53,40.03
19391201,18.66,40.13
19391202,18.66,40.24
19391203,18.66,40.34
19391204,18.66,40.45
19391205,18.66,40.55
19391206,18.66,40.66
19391207,18.66,40.76
19391208,18.66,40.87
19391209,18.66,40.98
19391210,18.79,41.09
19391211,18.79,41.21
19391212,18.79,41.32
19391213,18.93,41.44
19391214,18.93,41.55
19391215,18.93,41.67
19391216,18.93,41.79
19391217,18.93,41.90
19391218,18.93,42.02
19391219,19.08,42.14
19391220,19.46,42.26
19391221,19.46,42.38
19391222,19.46,42.50
19391223,20.18,42.62
19391224,20.29,42.75
19391225,20.29,42.87
19391226,20.81,42.99
19391227,21.16,43.11
19391228,21.16,43.24
19391229,21.24,43.36
19391230,21.24,43.48
19391231,21.24,43.60
19400101,T,0.12
19400102,T,0.24
19400103,T,0.37
19400104,0.02,0.49
19400105,0.04,0.61
19400106,0.04,0.73
19400107,0.53,0.85
19400108,0.53,0.96
19400109,0.53,1.07
19400110,0.53,1.19
19400111,1.08,1.31
19400112,1.13,1.43
19400113,1.19,1.54
19400114,2.51,1.65
19400115,2.51,1.76
19400116,2.51,1.87
19400117,2.51,1.99
19400118,2.51,2.09
19400119,2.51,2.20
19400120,2.51,2.31
19400121,2.51,2.42
19400122,2.51,2.53
19400123,3.74,2.64
19400124,3.74,2.75
19400125,3.74,2.86
19400126,3.74,2.97
19400127,3.74,3.07
19400128,3.74,3.17
19400129,3.74,3.28
19400130,3.74,3.38
19400131,3.74,3.49
19400201,3.74,3.59
19400202,3.74,3.70
19400203,3.74,3.80
19400204,3.81,3.91
19400205,3.84,4.01
19400206,4.47,4.12
19400207,4.50,4.21
19400208,4.50,4.31
19400209,4.50,4.41
19400210,5.29,4.51
19400211,5.29,4.62
19400212,5.29,4.72
19400213,5.36,4.83
19400214,5.37,4.93
19400215,5.37,5.05
19400216,5.37,5.16
19400217,5.41,5.28
19400218,6.81,5.41
19400219,6.84,5.53
19400220,6.93,5.65
19400221,6.93,5.77
19400222,6.93,5.89
19400223,6.93,6.01
19400224,6.94,6.13
19400225,7.07,6.26
19400226,7.07,6.38
19400227,7.17,6.50
19400228,7.39,6.62
19400229,7.39,6.62
19400301,7.39,6.75
19400302,7.43,6.89
19400303,7.92,7.02
19400304,7.92,7.15
19400305,7.92,7.29
19400306,7.92,7.42
19400307,7.92,7.56
19400308,7.94,7.70
19400309,7.94,7.83
19400310,7.94,7.96
19400311,8.21,8.09
19400312,8.66,8.22
19400313,8.85,8.35
19400314,9.65,8.49
19400315,9.65,8.62
19400316,9.65,8.75
19400317,9.65,8.88
19400318,9.71,9.00
19400319,9.80,9.12
19400320,9.80,9.24
19400321,9.80,9.35
19400322,9.80,9.47
19400323,9.80,9.58
19400324,10.23,9.70
19400325,10.23,9.82
19400326,10.23,9.94
19400327,10.23,10.07
19400328,10.27,10.19
19400329,10.29,10.32
19400330,10.62,10.44
