date,precipitation,precipitation_normal
19380501,0.00,12.41
19380502,0.00,12.54
19380503,0.00,12.66
19380504,T,12.79
19380505,T,12.91
19380506,T,13.02
19380507,T,13.14
19380508,T,13.26
19380509,T,13.38
19380510,0.07,13.49
19380511,0.07,13.61
19380512,0.07,13.73
19380513,0.07,13.84
19380514,0.07,13.96
19380515,0.66,14.08
19380516,0.77,14.20
19380517,0.77,14.33
19380518,1.73,14.45
19380519,2.37,14.58
19380520,2.54,14.70
19380521,2.54,14.83
19380522,2.54,14.96
19380523,2.58,15.09
19380524,2.92,15.21
19380525,2.92,15.34
19380526,2.92,15.47
19380527,2.92,15.59
19380528,2.92,15.72
19380529,2.92,15.84
19380530,2.92,15.96
19380531,2.92,16.08
19380601,2.92,16.20
19380602,2.96,16.32
19380603,3.15,16.44
19380604,3.15,16.56
19380605,3.20,16.68
19380606,3.20,16.80
19380607,3.22,16.93
19380608,3.43,17.06
19380609,3.43,17.18
19380610,3.43,17.32
19380611,3.92,17.45
19380612,4.12,17.59
19380613,4.50,17.72
19380614,4.50,17.86
19380615,4.50,17.98
19380616,4.60,18.11
19380617,4.65,18.24
19380618,4.67,18.36
19380619,4.67,18.49
19380620,4.67,18.61
19380621,4.67,18.74
19380622,4.67,18.87
19380623,4.67,19.00
19380624,4.67,19.13
19380625,4.69,19.26
19380626,5.22,19.39
19380627,6.20,19.52
19380628,6.20,19.65
19380629,6.20,19.78
19380630,6.20,19.91
19380701,6.46,20.03
19380702,6.78,20.16
19380703,6.78,20.28
19380704,6.78,20.40
19380705,6.78,20.52
19380706,6.78,20.64
19380707,6.78,20.75
19380708,6.78,20.87
19380709,7.37,20.99
19380710,7.37,21.10
19380711,7.52,21.22
19380712,7.64,21.33
19380713,7.64,21.45
19380714,7.64,21.56
19380715,7.64,21.68
19380716,7.64,21.80
19380717,7.64,21.92
19380718,7.80,22.04
19380719,7.80,22.16
19380720,7.80,22.27
19380721,7.80,22.39
19380722,7.80,22.50
19380723,8.70,22.62
19380724,8.70,22.74
19380725,8.70,22.86
19380726,8.70,22.98
19380727,8.70,23.10
19380728,8.70,23.22
19380729,9.05,23.34
19380730,9.05,23.46
19380731,9.05,23.58
19380801,9.90,23.70
19380802,9.91,23.82
19380803,9.91,23.94
19380804,9.91,24.06
19380805,10.23,24.18
19380806,10.23,24.30
19380807,10.26,24.42
19380808,10.26,24.54
19380809,10.26,24.65
19380810,10.26,24.76
19380811,10.44,24.87
19380812,10.44,24.98
19380813,10.44,25.09
19380814,10.44,25.20
19380815,10.44,25.31
19380816,10.45,25.43
19380817,10.45,25.54
19380818,10.45,25.65
19380819,10.45,25.77
19380820,10.45,25.88
19380821,10.45,25.99
19380822,10.50,26.09
19380823,10.50,26.20
19380824,10.50,26.32
