date,precipitation,precipitation_normal
20000731,0.00,2.45
20000801,0.00,2.46
20000802,T,2.46
20000803,T,2.47
20000804,T,2.47
20000805,T,2.48
20000806,T,2.48
20000807,T,2.49
20000808,T,2.49
20000809,T,2.50
20000810,T,2.51
20000811,T,2.51
20000812,T,2.52
20000813,T,2.53
20000814,T,2.53
20000815,T,2.54
20000816,T,2.55
20000817,T,2.56
20000818,T,2.57
20000819,T,2.57
20000820,T,2.58
20000821,T,2.59
20000822,T,2.60
20000823,T,2.60
20000824,T,2.61
20000825,T,2.62
20000826,0.01,2.63
20000827,0.01,2.63
20000828,0.01,2.64
20000829,0.81,2.65
20000830,0.85,2.66
20000831,0.85,2.67
20000901,0.85,2.68
20000902,0.85,2.69
20000903,0.85,2.70
20000904,0.85,2.71
20000905,0.85,2.72
20000906,0.85,2.73
20000907,0.85,2.74
20000908,0.85,2.75
20000909,0.85,2.76
20000910,0.85,2.77
20000911,0.85,2.77
20000912,0.85,2.78
20000913,0.85,2.79
20000914,0.85,2.79
20000915,0.85,2.80
20000916,0.85,2.81
20000917,0.85,2.81
20000918,0.85,2.82
20000919,0.85,2.83
20000920,0.85,2.83
20000921,0.85,2.84
20000922,0.85,2.85
20000923,0.85,2.86
20000924,0.85,2.86
20000925,0.85,2.87
20000926,0.85,2.88
20000927,0.85,2.89
20000928,0.85,2.90
20000929,0.85,2.90
20000930,0.85,2.91
20001001,0.85,2.92
20001002,0.85,2.93
20001003,0.85,2.94
20001004,0.85,2.95
20001005,0.85,2.96
20001006,0.85,2.97
20001007,0.85,2.98
20001008,0.85,3.00
20001009,0.85,3.01
20001010,0.85,3.02
20001011,0.85,3.03
20001012,0.87,3.05
20001013,0.87,3.06
20001014,0.87,3.07
20001015,0.87,3.09
20001016,0.87,3.10
20001017,0.87,3.11
20001018,0.87,3.12
20001019,0.87,3.14
20001020,0.87,3.15
20001021,0.87,3.16
20001022,0.91,3.17
20001023,1.10,3.18
20001024,1.10,3.19
20001025,1.10,3.20
20001026,1.10,3.21
20001027,1.54,3.22
20001028,1.54,3.23
20001029,1.54,3.24
20001030,1.59,3.25
20001031,1.59,3.26
20001101,1.59,3.27
20001102,1.59,3.27
20001103,1.59,3.28
20001104,1.59,3.29
20001105,1.59,3.29
20001106,1.59,3.29
20001107,1.59,3.30
20001108,1.59,3.31
20001109,1.59,3.32
20001110,1.59,3.33
20001111,1.59,3.34
20001112,1.59,3.34
20001113,1.59,3.35
20001114,1.59,3.36
20001115,1.59,3.37
20001116,1.59,3.39
20001117,1.59,3.40
20001118,1.59,3.41
20001119,1.59,3.42
20001120,1.59,3.43
20001121,1.59,3.45
20001122,1.59,3.46
20001123,1.59,3.47
20001124,1.59,3.48
20001125,1.59,3.49
20001126,1.59,3.50
20001127,1.59,3.51
20001128,1.59,3.53
20001129,1.59,3.54
20001130,1.59,3.55
20001201,1.59,3.56
20001202,1.59,3.57
20001203,1.59,3.59
20001204,1.59,3.60
20001205,1.59,3.61
20001206,1.59,3.62
20001207,1.59,3.63
20001208,1.59,3.65
20001209,1.59,3.66
20001210,1.59,3.67
20001211,1.59,3.68
20001212,1.59,3.70
20001213,1.59,3.71
20001214,1.59,3.72
20001215,1.59,3.73
20001216,1.59,3.75
20001217,1.59,3.76
20001218,1.59,3.77
20001219,1.59,3.79
20001220,1.59,3.80
20001221,1.59,3.81
20001222,1.59,3.83
20001223,1.59,3.84
20001224,1.59,3.86
20001225,1.59,3.88
20001226,1.59,3.89
20001227,1.59,3.91
20001228,1.59,3.93
20001229,1.59,3.95
20001230,1.59,3.97
20001231,1.59,3.99
20010101,0.00,0.02
20010102,0.00,0.05
20010103,0.00,0.07
20010104,0.00,0.09
20010105,0.00,0.12
20010106,0.00,0.14
20010107,0.00,0.16
20010108,0.19,0.18
20010109,0.27,0.20
20010110,0.28,0.22
20010111,0.54,0.25
20010112,0.54,0.27
20010113,0.54,0.29
20010114,0.54,0.31
20010115,0.56,0.34
20010116,0.56,0.36
20010117,0.56,0.38
20010118,0.56,0.41
20010119,0.56,0.43
20010120,0.56,0.45
20010121,0.56,0.47
20010122,0.56,0.49
20010123,0.56,0.51
20010124,0.56,0.53
20010125,0.56,0.55
20010126,0.71,0.57
20010127,0.91,0.59
20010128,0.91,0.61
20010129,0.91,0.63
20010130,0.91,0.65
20010131,0.91,0.67
20010201,0.91,0.69
20010202,0.91,0.71
20010203,0.91,0.74
20010204,0.91,0.76
20010205,0.91,0.78
20010206,0.91,0.81
20010207,0.91,0.83
20010208,0.91,0.86
20010209,0.91,0.89
20010210,0.91,0.92
20010211,0.91,0.95
20010212,0.91,0.98
20010213,1.11,1.01
20010214,1.11,1.04
20010215,1.11,1.07
20010216,1.11,1.10
20010217,1.11,1.14
20010218,1.11,1.17
20010219,1.11,1.20
20010220,1.11,1.23
20010221,1.11,1.27
20010222,1.11,1.30
20010223,1.11,1.33
20010224,1.11,1.36
20010225,1.39,1.39
20010226,1.90,1.42
20010227,2.40,1.46
20010228,2.87,1.49
20010301,2.87,1.52
20010302,2.87,1.55
20010303,2.87,1.58
20010304,2.87,1.61
20010305,2.87,1.64
20010306,2.94,1.66
20010307,3.00,1.69
20010308,3.01,1.71
20010309,3.01,1.73
20010310,3.01,1.75
20010311,3.01,1.77
20010312,3.01,1.79
20010313,3.01,1.80
20010314,3.01,1.82
20010315,3.01,1.83
20010316,3.01,1.84
20010317,3.01,1.85
20010318,3.01,1.86
20010319,3.01,1.87
20010320,3.01,1.89
20010321,3.01,1.90
20010322,3.01,1.91
20010323,3.01,1.92
20010324,3.01,1.93
20010325,3.01,1.94
20010326,3.01,1.95
20010327,3.01,1.96
20010328,3.01,1.97
20010329,3.01,1.98
20010330,3.01,1.99
20010331,3.01,2.00
20010401,3.01,2.01
20010402,3.01,2.02
20010403,3.01,2.03
20010404,3.01,2.03
20010405,3.01,2.04
20010406,3.01,2.05
20010407,3.01,2.06
20010408,3.01,2.06
20010409,3.01,2.07
20010410,3.01,2.08
20010411,3.01,2.09
20010412,3.01,2.10
20010413,3.01,2.11
20010414,3.01,2.11
20010415,3.01,2.12
20010416,3.01,2.13
20010417,3.01,2.14
20010418,3.01,2.15
20010419,3.01,2.16
20010420,3.01,2.16
20010421,3.01,2.17
20010422,3.01,2.18
20010423,3.01,2.19
20010424,3.01,2.19
20010425,3.01,2.20
20010426,3.01,2.21
20010427,3.01,2.21
20010428,3.01,2.22
20010429,3.01,2.22
20010430,3.01,2.23
20010501,3.01,2.23
20010502,3.01,2.24
20010503,3.01,2.24
20010504,3.01,2.25
20010505,3.01,2.25
20010506,3.01,2.25
20010507,3.01,2.26
20010508,3.01,2.26
20010509,3.01,2.27
20010510,3.01,2.27
20010511,3.01,2.27
20010512,3.02,2.28
20010513,3.03,2.28
20010514,3.03,2.28
20010515,3.03,2.29
20010516,3.03,2.29
20010517,3.03,2.29
20010518,3.03,2.29
20010519,3.03,2.30
20010520,3.03,2.30
20010521,3.03,2.30
20010522,3.03,2.30
20010523,3.03,2.30
20010524,3.03,2.30
20010525,3.03,2.31
20010526,3.03,2.31
20010527,3.03,2.31
20010528,3.03,2.31
20010529,3.03,2.31
20010530,3.03,2.31
20010531,3.03,2.31
20010601,3.03,2.31
20010602,3.03,2.31
20010603,3.03,2.31
20010604,3.03,2.31
20010605,3.03,2.31
20010606,3.03,2.31
20010607,3.03,2.31
20010608,3.03,2.31
20010609,3.03,2.31
20010610,3.03,2.31
20010611,3.03,2.31
20010612,3.03,2.31
20010613,3.03,2.31
20010614,3.03,2.31
20010615,3.03,2.31
20010616,3.03,2.31
20010617,3.03,2.31
20010618,3.03,2.31
20010619,3.03,2.31
20010620,3.03,2.32
20010621,3.03,2.32
20010622,3.03,2.32
20010623,3.03,2.32
20010624,3.03,2.32
20010625,3.03,2.32
20010626,3.03,2.32
20010627,3.03,2.32
20010628,3.03,2.32
20010629,3.03,2.32
20010630,3.03,2.32
20010701,3.03,2.32
20010702,3.03,2.32
20010703,3.03,2.33
20010704,3.03,2.33
20010705,3.03,2.33
20010706,3.03,2.33
20010707,3.03,2.34
20010708,3.03,2.34
20010709,3.03,2.34
20010710,3.03,2.35
20010711,3.03,2.35
20010712,3.03,2.36
20010713,3.03,2.36
20010714,3.03,2.36
20010715,3.03,2.37
20010716,3.03,2.37
20010717,3.03,2.38
20010718,3.03,2.38
20010719,3.03,2.39
20010720,3.03,2.39
20010721,3.03,2.40
20010722,3.03,2.40
20010723,3.03,2.41
20010724,3.03,2.41
20010725,3.03,2.42
20010726,3.03,2.42
20010727,3.03,2.43
20010728,3.03,2.44
20010729,3.03,2.44
20010730,3.03,2.44
20010731,3.03,2.45
20010801,3.03,2.46
20010802,3.03,2.46
20010803,3.03,2.47
20010804,3.03,2.47
20010805,3.03,2.48
20010806,3.03,2.48
20010807,3.03,2.49
20010808,3.03,2.49
20010809,3.03,2.50
20010810,3.03,2.51
20010811,3.03,2.51
20010812,3.03,2.52
20010813,3.03,2.53
20010814,3.03,2.53
20010815,3.03,2.54
20010816,3.03,2.55
20010817,3.03,2.56
20010818,3.03,2.57
20010819,3.03,2.57
20010820,3.03,2.58
20010821,3.03,2.59
20010822,3.03,2.60
20010823,3.03,2.60
20010824,3.03,2.61
20010825,3.03,2.62
20010826,3.03,2.63
20010827,3.03,2.63
20010828,3.03,2.64
20010829,3.03,2.65
20010830,3.03,2.66
20010831,3.03,2.67
20010901,3.03,2.68
20010902,3.03,2.69
20010903,3.03,2.70
20010904,3.03,2.71
20010905,3.03,2.72
20010906,3.03,2.73
20010907,3.03,2.74
20010908,3.03,2.75
20010909,3.03,2.76
20010910,3.03,2.77
20010911,3.03,2.77
20010912,3.03,2.78
20010913,3.03,2.79
20010914,3.03,2.79
20010915,3.03,2.80
20010916,3.03,2.81
20010917,3.03,2.81
20010918,3.03,2.82
20010919,3.03,2.83
20010920,3.03,2.83
20010921,3.03,2.84
20010922,3.03,2.85
20010923,3.03,2.86
20010924,3.03,2.86
20010925,3.03,2.87
20010926,3.03,2.88
20010927,3.03,2.89
20010928,3.03,2.90
20010929,3.03,2.90
20010930,3.03,2.91
20011001,3.03,2.92
20011002,3.03,2.93
20011003,3.03,2.94
20011004,3.03,2.95
20011005,3.03,2.96
20011006,3.03,2.97
20011007,3.03,2.98
20011008,3.03,3.00
20011009,3.03,3.01
20011010,3.03,3.02
20011011,3.03,3.03
20011012,3.03,3.05
20011013,3.03,3.06
20011014,3.03,3.07
20011015,3.03,3.09
20011016,3.03,3.10
20011017,3.03,3.11
20011018,3.03,3.12
20011019,3.03,3.14
20011020,3.03,3.15
20011021,3.03,3.16
20011022,3.03,3.17
20011023,3.03,3.18
20011024,3.03,3.19
20011025,3.03,3.20
20011026,3.03,3.21
20011027,3.03,3.22
20011028,3.03,3.23
20011029,3.03,3.24
20011030,3.03,3.25
20011031,3.03,3.26
20011101,3.03,3.27
20011102,3.03,3.27
20011103,3.03,3.28
20011104,3.03,3.29
20011105,3.05,3.29
20011106,3.05,3.29
20011107,3.05,3.30
20011108,3.05,3.31
20011109,3.05,3.32
