date,precipitation,precipitation_normal
19330701,0.00,2.95
19330702,0.00,2.97
19330703,0.00,2.98
19330704,0.00,3.00
19330705,0.00,3.02
19330706,0.00,3.04
19330707,0.00,3.05
19330708,0.00,3.08
19330709,0.00,3.10
19330710,0.00,3.12
19330711,0.00,3.15
19330712,T,3.18
19330713,T,3.21
19330714,T,3.23
19330715,T,3.27
19330716,T,3.30
19330717,0.33,3.33
19330718,0.33,3.37
19330719,0.33,3.40
19330720,0.33,3.44
19330721,0.34,3.48
19330722,0.34,3.52
19330723,0.36,3.56
19330724,0.36,3.59
19330725,0.36,3.63
19330726,0.36,3.67
19330727,0.36,3.71
19330728,0.36,3.74
19330729,0.36,3.78
19330730,0.36,3.81
19330731,0.36,3.85
19330801,0.37,3.88
19330802,0.37,3.91
19330803,0.37,3.94
19330804,0.37,3.97
19330805,0.37,4.00
19330806,0.37,4.04
19330807,0.37,4.07
19330808,0.37,4.10
19330809,0.37,4.13
19330810,0.37,4.16
19330811,0.37,4.19
19330812,0.37,4.22
19330813,0.37,4.25
19330814,0.37,4.28
19330815,0.37,4.31
19330816,0.37,4.34
19330817,0.37,4.37
19330818,0.60,4.40
19330819,0.60,4.43
19330820,0.60,4.46
19330821,0.61,4.49
19330822,0.61,4.51
19330823,0.61,4.54
19330824,0.61,4.57
19330825,0.61,4.60
19330826,0.61,4.63
19330827,0.61,4.66
19330828,0.61,4.69
19330829,0.61,4.72
19330830,0.61,4.75
19330831,0.61,4.78
19330901,0.61,4.81
19330902,0.61,4.83
19330903,0.61,4.86
19330904,0.61,4.88
19330905,0.61,4.91
19330906,0.61,4.93
19330907,0.61,4.95
19330908,1.09,4.97
19330909,1.09,4.99
19330910,1.18,5.01
19330911,1.18,5.03
19330912,1.18,5.05
19330913,1.18,5.07
19330914,1.18,5.08
19330915,1.18,5.10
19330916,1.18,5.12
19330917,1.18,5.14
19330918,1.23,5.16
19330919,1.23,5.18
19330920,1.26,5.20
19330921,1.26,5.21
19330922,1.26,5.23
19330923,1.26,5.25
19330924,1.26,5.26
19330925,1.26,5.27
19330926,1.26,5.29
19330927,1.26,5.30
19330928,1.26,5.32
19330929,1.26,5.33
19330930,1.26,5.35
19331001,1.26,5.37
19331002,1.26,5.39
19331003,1.26,5.41
19331004,1.40,5.43
19331005,1.40,5.44
19331006,1.41,5.46
19331007,1.41,5.48
19331008,1.41,5.50
19331009,1.49,5.52
19331010,1.49,5.53
19331011,1.49,5.55
19331012,1.49,5.57
19331013,1.63,5.59
19331014,1.63,5.61
19331015,1.63,5.63
19331016,1.63,5.65
19331017,1.63,5.67
19331018,1.63,5.68
19331019,1.63,5.70
19331020,1.63,5.72
19331021,1.63,5.74
19331022,1.63,5.75
19331023,1.63,5.77
19331024,1.63,5.79
19331025,1.63,5.81
19331026,1.63,5.82
19331027,1.63,5.84
19331028,1.63,5.86
19331029,1.63,5.87
19331030,1.63,5.89
19331031,1.63,5.91
19331101,1.63,5.93
19331102,1.63,5.95
19331103,1.63,5.96
