date,precipitation,precipitation_normal
19910901,0.00,26.59
19910902,0.00,26.70
19910903,0.00,26.80
19910904,0.00,26.91
19910905,0.41,27.02
19910906,0.41,27.12
19910907,0.41,27.23
19910908,0.41,27.33
19910909,0.41,27.44
19910910,0.51,27.54
19910911,2.72,27.64
19910912,2.72,27.74
19910913,2.72,27.85
19910914,2.72,27.96
19910915,2.72,28.07
19910916,2.72,28.19
19910917,2.83,28.30
19910918,2.83,28.41
19910919,3.06,28.52
19910920,3.06,28.63
19910921,3.06,28.75
19910922,3.06,28.86
19910923,3.14,28.98
19910924,3.14,29.09
19910925,4.00,29.19
19910926,4.00,29.29
19910927,4.00,29.39
19910928,4.00,29.48
19910929,4.00,29.58
19910930,4.00,29.67
19911001,4.00,29.76
19911002,4.00,29.86
19911003,4.00,29.95
19911004,4.00,30.04
19911005,4.00,30.12
19911006,4.02,30.21
19911007,4.02,30.31
19911008,4.02,30.40
19911009,4.02,30.49
19911010,4.03,30.58
19911011,4.03,30.68
19911012,4.04,30.76
19911013,4.05,30.85
19911014,4.05,30.93
19911015,4.07,31.01
19911016,4.19,31.09
19911017,4.19,31.17
19911018,4.19,31.26
19911019,4.19,31.35
19911020,4.23,31.43
19911021,4.23,31.52
19911022,4.23,31.61
19911023,4.23,31.69
19911024,4.27,31.78
19911025,4.27,31.88
19911026,4.27,31.97
19911027,4.27,32.07
19911028,4.34,32.17
19911029,4.34,32.27
19911030,4.34,32.37
19911031,4.34,32.47
19911101,4.34,32.56
19911102,4.34,32.65
19911103,4.34,32.75
19911104,4.34,32.84
19911105,4.34,32.93
19911106,4.34,33.02
19911107,4.34,33.11
19911108,4.34,33.20
19911109,4.34,33.29
19911110,4.34,33.37
19911111,4.96,33.46
19911112,5.18,33.56
19911113,5.18,33.65
19911114,5.18,33.74
19911115,5.24,33.84
19911116,5.24,33.93
19911117,5.24,34.03
19911118,5.24,34.12
19911119,5.24,34.22
19911120,5.29,34.32
19911121,5.35,34.41
19911122,5.39,34.51
19911123,6.00,34.61
19911124,6.01,34.71
19911125,6.01,34.80
19911126,6.01,34.90
19911127,6.01,35.00
19911128,6.04,35.10
19911129,6.04,35.20
19911130,6.04,35.30
19911201,6.04,35.40
19911202,6.04,35.49
19911203,6.04,35.59
19911204,6.04,35.69
19911205,6.04,35.79
19911206,6.04,35.89
19911207,6.04,36.00
19911208,6.04,36.10
19911209,6.10,36.21
19911210,6.10,36.31
19911211,6.10,36.41
19911212,6.10,36.52
19911213,6.10,36.61
19911214,6.71,36.71
19911215,6.71,36.81
19911216,6.71,36.90
19911217,6.71,36.98
19911218,6.71,37.07
19911219,6.71,37.17
19911220,6.71,37.26
19911221,6.71,37.35
19911222,6.80,37.44
19911223,6.97,37.54
19911224,6.97,37.64
19911225,6.97,37.74
19911226,6.97,37.84
19911227,6.97,37.94
19911228,6.97,38.03
19911229,7.01,38.13
19911230,7.11,38.22
19911231,7.11,38.32
19920101,0.00,0.11
19920102,0.00,0.22
19920103,0.00,0.33
19920104,0.00,0.44
19920105,0.00,0.55
19920106,0.00,0.66
19920107,0.00,0.77
19920108,0.00,0.87
19920109,0.01,0.98
19920110,0.02,1.09
19920111,0.02,1.20
19920112,0.02,1.31
19920113,0.02,1.42
19920114,0.33,1.54
19920115,0.34,1.65
19920116,0.36,1.77
19920117,0.36,1.88
19920118,0.46,2.00
19920119,0.46,2.11
19920120,0.56,2.22
19920121,0.57,2.33
19920122,0.57,2.43
19920123,0.69,2.53
19920124,1.26,2.64
19920125,1.34,2.74
19920126,1.84,2.85
19920127,1.84,2.95
19920128,1.84,3.05
19920129,1.84,3.15
19920130,1.84,3.25
19920131,1.84,3.36
19920201,1.86,3.46
19920202,1.86,3.56
19920203,1.86,3.66
19920204,1.86,3.76
19920205,1.86,3.86
19920206,1.86,3.96
19920207,1.86,4.05
19920208,1.86,4.15
19920209,1.90,4.24
19920210,1.90,4.34
19920211,1.90,4.43
19920212,1.90,4.53
19920213,1.94,4.63
19920214,2.15,4.73
19920215,2.57,4.83
19920216,2.60,4.92
19920217,2.65,5.02
19920218,2.72,5.12
19920219,2.73,5.23
19920220,2.76,5.33
19920221,2.76,5.43
19920222,2.76,5.53
19920223,2.77,5.63
19920224,3.11,5.73
19920225,3.14,5.83
