date,min,max,normal_min,normal_max
19390701,69.0,91.0,69.1,89.8
19390702,71.0,89.0,69.2,89.9
19390703,68.0,88.0,69.3,90.0
19390704,68.0,80.0,69.4,90.1
19390705,69.0,88.0,69.5,90.1
19390706,68.0,87.0,69.6,90.2
19390707,72.0,90.0,69.7,90.3
19390708,70.0,87.0,69.7,90.3
19390709,72.0,88.0,69.8,90.4
19390710,72.0,88.0,69.9,90.4
19390711,69.0,88.0,69.9,90.5
19390712,66.0,87.0,70.0,90.5
19390713,69.0,90.0,70.0,90.5
19390714,71.0,95.0,70.1,90.5
19390715,66.0,90.0,70.1,90.5
19390716,65.0,87.0,70.1,90.5
19390717,64.0,90.0,70.1,90.5
19390718,68.0,94.0,70.1,90.5
19390719,69.0,97.0,70.2,90.5
19390720,69.0,85.0,70.2,90.5
19390721,63.0,74.0,70.2,90.5
19390722,62.0,77.0,70.2,90.4
19390723,65.0,87.0,70.2,90.4
19390724,68.0,90.0,70.1,90.4
19390725,69.0,89.0,70.1,90.3
19390726,69.0,90.0,70.1,90.3
19390727,72.0,91.0,70.1,90.2
19390728,69.0,90.0,70.1,90.2
19390729,70.0,89.0,70.0,90.1
19390730,70.0,88.0,70.0,90.1
19390731,67.0,89.0,70.0,90.0
19390801,70.0,90.0,69.9,90.0
19390802,69.0,92.0,69.9,89.9
19390803,68.0,90.0,69.8,89.8
19390804,69.0,89.0,69.8,89.8
19390805,69.0,88.0,69.7,89.7
19390806,64.0,86.0,69.7,89.6
19390807,65.0,89.0,69.6,89.6
19390808,68.0,90.0,69.5,89.5
19390809,71.0,92.0,69.5,89.4
19390810,71.0,95.0,69.4,89.3
19390811,66.0,90.0,69.3,89.3
19390812,68.0,88.0,69.2,89.2
19390813,69.0,85.0,69.2,89.1
19390814,70.0,88.0,69.1,89.0
19390815,72.0,85.0,69.0,88.9
19390816,72.0,87.0,68.9,88.8
19390817,70.0,82.0,68.8,88.7
19390818,69.0,87.0,68.7,88.6
19390819,71.0,90.0,68.6,88.4
19390820,69.0,89.0,68.5,88.3
19390821,69.0,89.0,68.3,88.2
19390822,67.0,89.0,68.2,88.1
19390823,66.0,89.0,68.1,87.9
19390824,69.0,86.0,67.9,87.8
