date,min,max,normal_min,normal_max
19380501,35.0,72.0,46.4,66.4
19380502,46.0,80.0,46.7,66.8
19380503,58.0,91.0,47.1,67.1
19380504,57.0,88.0,47.4,67.5
19380505,65.0,84.0,47.7,67.8
19380506,48.0,74.0,48.1,68.1
19380507,45.0,71.0,48.4,68.5
19380508,,,48.7,68.8
19380509,,,49.1,69.1
19380510,44.0,64.0,49.4,69.4
19380511,41.0,55.0,49.7,69.7
19380512,28.0,56.0,50.1,70.0
19380513,32.0,64.0,50.4,70.3
19380514,45.0,53.0,50.7,70.6
19380515,47.0,52.0,51.1,70.9
19380516,44.0,67.0,51.4,71.2
19380517,45.0,66.0,51.7,71.4
19380518,51.0,71.0,52.1,71.7
19380519,61.0,81.0,52.4,72.0
19380520,66.0,79.0,52.7,72.3
19380521,52.0,68.0,53.1,72.6
19380522,53.0,72.0,53.4,72.9
19380523,54.0,78.0,53.7,73.2
19380524,47.0,60.0,54.1,73.5
19380525,39.0,72.0,54.4,73.8
19380526,50.0,81.0,54.7,74.0
19380527,57.0,80.0,55.1,74.3
19380528,59.0,82.0,55.4,74.6
19380529,61.0,81.0,55.8,74.9
19380530,60.0,73.0,56.1,75.2
19380531,53.0,80.0,56.4,75.5
19380601,,,56.8,75.8
19380602,63.0,75.0,57.1,76.1
19380603,49.0,84.0,57.4,76.4
19380604,59.0,73.0,57.8,76.7
19380605,51.0,76.0,58.1,77.0
19380606,52.0,82.0,58.4,77.3
19380607,60.0,69.0,58.8,77.6
19380608,47.0,75.0,59.1,77.9
19380609,48.0,83.0,59.4,78.2
19380610,61.0,75.0,59.7,78.5
19380611,68.0,85.0,60.0,78.8
19380612,59.0,67.0,60.3,79.0
19380613,55.0,78.0,60.6,79.3
19380614,49.0,82.0,60.9,79.6
19380615,55.0,84.0,61.2,79.9
19380616,64.0,78.0,61.5,80.1
19380617,60.0,76.0,61.8,80.4
19380618,60.0,74.0,62.0,80.7
19380619,54.0,79.0,62.3,80.9
19380620,57.0,83.0,62.5,81.1
19380621,57.0,89.0,62.8,81.4
19380622,57.0,91.0,63.0,81.6
19380623,64.0,93.0,63.2,81.8
19380624,67.0,94.0,63.4,82.0
19380625,,,63.6,82.2
19380626,,,63.8,82.4
19380627,58.0,71.0,64.0,82.6
19380628,49.0,80.0,64.2,82.7
19380629,48.0,81.0,64.3,82.9
19380630,53.0,76.0,64.5,83.0
19380701,63.0,70.0,64.6,83.2
19380702,65.0,78.0,64.7,83.3
19380703,59.0,80.0,64.8,83.4
19380704,54.0,78.0,65.0,83.5
19380705,52.0,86.0,65.0,83.6
19380706,62.0,91.0,65.1,83.7
19380707,65.0,95.0,65.2,83.8
19380708,71.0,95.0,65.3,83.8
19380709,68.0,88.0,65.3,83.9
19380710,64.0,92.0,65.4,83.9
19380711,68.0,88.0,65.4,83.9
19380712,62.0,91.0,65.5,84.0
19380713,64.0,88.0,65.5,84.0
19380714,69.0,85.0,65.5,84.0
19380715,65.0,77.0,65.5,84.0
19380716,55.0,85.0,65.5,84.0
19380717,67.0,86.0,65.5,83.9
19380718,65.0,81.0,65.5,83.9
19380719,60.0,89.0,65.5,83.9
19380720,63.0,91.0,65.5,83.9
19380721,68.0,86.0,65.5,83.8
19380722,63.0,84.0,65.5,83.8
19380723,63.0,88.0,65.4,83.7
19380724,61.0,87.0,65.4,83.7
19380725,62.0,95.0,65.4,83.6
19380726,69.0,92.0,65.4,83.6
19380727,68.0,86.0,65.3,83.5
19380728,67.0,91.0,65.3,83.5
19380729,65.0,82.0,65.3,83.4
19380730,60.0,89.0,65.2,83.3
19380731,69.0,74.0,65.2,83.3
19380801,67.0,86.0,65.1,83.2
19380802,66.0,91.0,65.1,83.2
19380803,70.0,97.0,65.0,83.1
19380804,72.0,85.0,65.0,83.0
19380805,65.0,89.0,64.9,83.0
19380806,71.0,92.0,64.9,82.9
19380807,65.0,94.0,64.8,82.8
19380808,67.0,89.0,64.8,82.8
19380809,67.0,93.0,64.7,82.7
19380810,70.0,89.0,64.6,82.6
19380811,70.0,83.0,64.6,82.6
19380812,58.0,80.0,64.5,82.5
19380813,57.0,86.0,64.4,82.4
19380814,65.0,92.0,64.3,82.3
19380815,75.0,93.0,64.2,82.3
19380816,71.0,92.0,64.1,82.2
19380817,68.0,82.0,64.0,82.1
19380818,66.0,88.0,63.9,82.0
19380819,62.0,93.0,63.8,81.9
19380820,66.0,91.0,63.7,81.8
19380821,65.0,83.0,63.6,81.7
19380822,62.0,82.0,63.4,81.6
19380823,56.0,88.0,63.3,81.4
19380824,66.0,80.0,63.1,81.3
19380825,56.0,79.0,63.0,81.2
19380826,52.0,84.0,62.8,81.0
19380827,58.0,78.0,62.6,80.9
19380828,56.0,84.0,62.4,80.7
19380829,56.0,90.0,62.2,80.5
19380830,58.0,85.0,62.0,80.3
19380831,64.0,82.0,61.8,80.2
19380901,66.0,76.0,61.5,80.0
19380902,49.0,74.0,61.3,79.7
19380903,48.0,80.0,61.1,79.5
19380904,62.0,88.0,60.8,79.3
19380905,52.0,78.0,60.5,79.0
19380906,55.0,79.0,60.3,78.8
19380907,67.0,78.0,60.0,78.5
19380908,57.0,72.0,59.7,78.3
19380909,55.0,78.0,59.4,78.0
19380910,60.0,77.0,59.1,77.7
19380911,65.0,83.0,58.8,77.4
19380912,67.0,84.0,58.4,77.1
19380913,65.0,80.0,58.1,76.7
19380914,60.0,80.0,57.8,76.4
19380915,59.0,72.0,57.4,76.1
19380916,56.0,68.0,57.1,75.7
19380917,52.0,70.0,56.8,75.4
19380918,56.0,73.0,56.4,75.0
19380919,50.0,62.0,56.0,74.6
19380920,42.0,60.0,55.7,74.2
19380921,44.0,60.0,55.3,73.9
19380922,48.0,58.0,55.0,73.5
19380923,49.0,78.0,54.6,73.1
