date,min,max,normal_min,normal_max
20000731,85.0,108.0,79.7,103.7
20000801,85.0,111.0,79.6,103.6
20000802,88.0,108.0,79.5,103.5
20000803,85.0,109.0,79.3,103.5
20000804,81.0,108.0,79.2,103.4
20000805,83.0,110.0,79.1,103.3
20000806,82.0,110.0,79.0,103.2
20000807,80.0,107.0,78.8,103.2
20000808,79.0,103.0,78.7,103.1
20000809,77.0,106.0,78.6,103.0
20000810,79.0,107.0,78.4,102.9
20000811,,,78.3,102.8
20000812,,,78.2,102.7
20000813,,,78.0,102.6
20000814,82.0,105.0,77.9,102.5
20000815,81.0,106.0,77.7,102.4
20000816,,,77.6,102.3
20000817,79.0,104.0,77.5,102.2
20000818,81.0,104.0,77.3,102.1
20000819,77.0,102.0,77.1,101.9
20000820,,,77.0,101.8
20000821,69.0,104.0,76.8,101.7
20000822,74.0,104.0,76.7,101.5
20000823,77.0,94.0,76.5,101.4
20000824,77.0,100.0,76.3,101.2
20000825,77.0,98.0,76.2,101.0
20000826,76.0,99.0,76.0,100.9
20000827,82.0,99.0,75.8,100.7
20000828,78.0,91.0,75.6,100.5
20000829,,,75.4,100.3
20000830,69.0,81.0,75.2,100.0
20000831,68.0,89.0,75.0,99.8
20000901,65.0,86.0,74.8,99.5
20000902,64.0,87.0,74.6,99.3
20000903,62.0,93.0,74.3,99.0
20000904,64.0,96.0,74.1,98.7
20000905,64.0,96.0,73.8,98.4
20000906,72.0,93.0,73.6,98.1
20000907,67.0,92.0,73.3,97.8
20000908,72.0,96.0,73.0,97.4
20000909,66.0,99.0,72.7,97.1
20000910,64.0,99.0,72.4,96.7
20000911,65.0,98.0,72.1,96.4
20000912,66.0,98.0,71.8,96.0
20000913,,,71.4,95.6
20000914,72.0,104.0,71.1,95.2
20000915,72.0,105.0,70.7,94.7
20000916,74.0,106.0,70.4,94.3
20000917,75.0,106.0,70.0,93.9
20000918,80.0,101.0,69.6,93.4
20000919,78.0,102.0,69.2,93.0
20000920,79.0,99.0,68.8,92.5
20000921,76.0,98.0,68.4,92.1
20000922,70.0,86.0,68.0,91.6
20000923,66.0,83.0,67.6,91.1
20000924,56.0,78.0,67.1,90.6
20000925,55.0,85.0,66.7,90.1
20000926,63.0,91.0,66.3,89.7
20000927,68.0,94.0,65.8,89.2
20000928,67.0,95.0,65.4,88.7
20000929,66.0,93.0,64.9,88.2
20000930,66.0,97.0,64.5,87.7
20001001,67.0,100.0,64.0,87.2
20001002,68.0,99.0,63.6,86.7
20001003,69.0,97.0,63.1,86.3
20001004,64.0,82.0,62.7,85.8
20001005,60.0,88.0,62.2,85.3
20001006,63.0,92.0,61.7,84.8
20001007,62.0,90.0,61.3,84.4
20001008,61.0,89.0,60.9,83.9
20001009,62.0,86.0,60.4,83.5
20001010,57.0,73.0,60.0,83.0
20001011,52.0,68.0,59.5,82.6
20001012,55.0,68.0,59.1,82.1
20001013,51.0,74.0,58.7,81.7
20001014,,,58.2,81.2
20001015,,,57.8,80.8
20001016,55.0,82.0,57.4,80.4
20001017,55.0,85.0,57.0,80.0
20001018,57.0,84.0,56.5,79.5
20001019,66.0,85.0,56.1,79.1
20001020,62.0,86.0,55.7,78.7
20001021,64.0,81.0,55.3,78.3
20001022,55.0,65.0,54.9,77.9
20001023,52.0,61.0,54.5,77.5
20001024,53.0,65.0,54.1,77.1
20001025,,,53.7,76.7
20001026,55.0,69.0,53.3,76.2
20001027,54.0,60.0,52.9,75.8
20001028,50.0,69.0,52.6,75.4
20001029,54.0,67.0,52.2,75.0
20001030,50.0,61.0,51.8,74.6
20001031,49.0,64.0,51.4,74.1
20001101,48.0,66.0,51.0,73.7
20001102,46.0,66.0,50.6,73.3
20001103,50.0,66.0,50.2,72.8
20001104,48.0,69.0,49.9,72.4
20001105,45.0,71.0,49.5,71.9
20001106,47.0,66.0,49.1,71.5
20001107,43.0,60.0,48.7,71.0
20001108,37.0,59.0,48.3,70.5
20001109,45.0,63.0,47.9,70.0
20001110,41.0,57.0,47.5,69.6
20001111,37.0,51.0,47.1,69.1
20001112,36.0,53.0,46.8,68.6
20001113,31.0,54.0,46.4,68.1
20001114,32.0,57.0,46.0,67.6
20001115,39.0,57.0,45.6,67.1
20001116,40.0,55.0,45.2,66.6
20001117,37.0,54.0,44.8,66.1
20001118,38.0,56.0,44.5,65.6
20001119,32.0,59.0,44.1,65.1
20001120,34.0,65.0,43.7,64.6
20001121,42.0,65.0,43.4,64.1
20001122,37.0,61.0,43.0,63.6
20001123,47.0,66.0,42.6,63.1
20001124,42.0,65.0,42.3,62.6
20001125,41.0,62.0,41.9,62.1
20001126,38.0,63.0,41.6,61.6
20001127,40.0,64.0,41.3,61.2
20001128,42.0,67.0,41.0,60.7
20001129,41.0,74.0,40.7,60.3
20001130,45.0,67.0,40.4,59.9
20001201,44.0,62.0,40.1,59.5
20001202,45.0,66.0,39.8,59.1
20001203,39.0,65.0,39.5,58.7
20001204,40.0,67.0,39.3,58.3
20001205,47.0,67.0,39.1,58.0
20001206,42.0,67.0,38.8,57.7
20001207,48.0,65.0,38.6,57.3
20001208,42.0,66.0,38.4,57.1
20001209,42.0,62.0,38.3,56.8
20001210,43.0,62.0,38.1,56.5
20001211,39.0,58.0,38.0,56.3
20001212,41.0,56.0,37.8,56.1
20001213,38.0,56.0,37.7,55.9
20001214,41.0,58.0,37.6,55.8
20001215,41.0,63.0,37.5,55.6
20001216,43.0,61.0,37.5,55.5
20001217,37.0,62.0,37.4,55.4
20001218,36.0,57.0,37.4,55.3
20001219,31.0,54.0,37.3,55.3
20001220,32.0,57.0,37.3,55.2
20001221,35.0,61.0,37.3,55.2
20001222,36.0,60.0,37.3,55.2
20001223,36.0,60.0,37.3,55.2
20001224,36.0,60.0,37.4,55.3
20001225,44.0,58.0,37.4,55.3
20001226,41.0,61.0,37.5,55.4
20001227,34.0,60.0,37.5,55.4
20001228,37.0,64.0,37.6,55.5
20001229,38.0,64.0,37.7,55.6
20001230,37.0,61.0,37.7,55.7
20001231,34.0,62.0,37.8,55.8
20010101,41.0,64.0,37.9,56.0
20010102,41.0,66.0,38.0,56.1
20010103,36.0,65.0,38.1,56.2
20010104,37.0,66.0,38.2,56.4
20010105,36.0,64.0,38.3,56.5
20010106,41.0,65.0,38.4,56.7
20010107,36.0,64.0,38.5,56.8
20010108,40.0,59.0,38.6,56.9
20010109,44.0,53.0,38.7,57.1
20010110,41.0,55.0,38.9,57.2
