date,min,max,normal_min,normal_max
19330601,56.0,97.0,74.2,100.4
19330602,66.0,99.0,74.5,100.7
19330603,71.0,96.0,74.8,101.0
19330604,55.0,95.0,75.1,101.4
19330605,63.0,93.0,75.4,101.7
19330606,57.0,86.0,75.7,102.0
19330607,56.0,91.0,76.0,102.3
19330608,61.0,99.0,76.3,102.6
19330609,60.0,103.0,76.6,102.9
19330610,60.0,107.0,77.0,103.2
19330611,63.0,114.0,77.3,103.5
19330612,67.0,112.0,77.6,103.7
19330613,76.0,108.0,77.9,104.0
19330614,81.0,106.0,78.2,104.2
19330615,78.0,105.0,78.5,104.5
19330616,74.0,104.0,78.8,104.7
19330617,76.0,102.0,79.1,104.9
19330618,79.0,102.0,79.4,105.1
19330619,71.0,105.0,79.7,105.3
19330620,72.0,104.0,80.0,105.5
19330621,77.0,106.0,80.3,105.6
19330622,79.0,107.0,80.6,105.8
19330623,73.0,106.0,80.9,106.0
19330624,68.0,108.0,81.2,106.1
19330625,68.0,107.0,81.5,106.2
19330626,69.0,108.0,81.7,106.3
19330627,68.0,108.0,82.0,106.4
19330628,67.0,101.0,82.2,106.5
19330629,65.0,105.0,82.5,106.6
19330630,65.0,104.0,82.7,106.7
19330701,70.0,101.0,82.9,106.7
19330702,75.0,101.0,83.1,106.8
19330703,70.0,107.0,83.3,106.8
19330704,78.0,109.0,83.5,106.9
19330705,77.0,107.0,83.7,106.9
19330706,79.0,105.0,83.9,106.9
19330707,78.0,108.0,84.0,106.9
19330708,75.0,112.0,84.2,106.9
19330709,78.0,111.0,84.3,106.9
19330710,79.0,108.0,84.4,106.9
19330711,79.0,109.0,84.5,106.8
19330712,85.0,107.0,84.6,106.8
19330713,82.0,111.0,84.7,106.8
19330714,86.0,110.0,84.8,106.7
19330715,82.0,105.0,84.9,106.7
19330716,82.0,109.0,84.9,106.6
19330717,81.0,101.0,84.9,106.6
19330718,80.0,106.0,85.0,106.5
19330719,78.0,109.0,85.0,106.5
19330720,78.0,111.0,85.0,106.4
19330721,81.0,108.0,85.0,106.3
19330722,78.0,107.0,85.0,106.3
19330723,80.0,111.0,85.0,106.2
19330724,76.0,110.0,85.0,106.2
