date,min,max,normal_min,normal_max
19910901,60.0,80.0,58.9,82.4
19910902,56.0,88.0,58.7,82.2
19910903,65.0,83.0,58.4,82.0
19910904,68.0,87.0,58.2,81.8
19910905,53.0,76.0,57.9,81.6
19910906,,,57.6,81.3
19910907,57.0,86.0,57.4,81.1
19910908,58.0,88.0,57.1,80.8
19910909,,,56.8,80.5
19910910,,,56.5,80.2
19910911,66.0,80.0,56.3,79.9
19910912,58.0,78.0,56.0,79.6
19910913,57.0,75.0,55.7,79.2
19910914,,,55.4,78.9
19910915,69.0,92.0,55.0,78.5
19910916,68.0,91.0,54.7,78.2
19910917,,,54.4,77.8
19910918,60.0,81.0,54.1,77.4
19910919,54.0,84.0,53.7,77.0
19910920,49.0,68.0,53.4,76.6
19910921,42.0,64.0,53.1,76.2
19910922,,,52.7,75.8
19910923,,,52.4,75.4
19910924,50.0,70.0,52.0,74.9
19910925,54.0,68.0,51.7,74.5
19910926,49.0,66.0,51.3,74.1
19910927,40.0,62.0,51.0,73.7
19910928,,,50.6,73.2
19910929,,,50.2,72.8
19910930,41.0,71.0,49.9,72.3
19911001,,,49.5,71.9
19911002,55.0,79.0,49.1,71.5
19911003,58.0,77.0,48.7,71.0
19911004,61.0,77.0,48.3,70.6
19911005,56.0,78.0,48.0,70.2
19911006,,,47.6,69.8
19911007,43.0,53.0,47.2,69.3
19911008,32.0,54.0,46.8,68.9
19911009,,,46.4,68.5
19911010,47.0,61.0,46.0,68.1
19911011,,,45.6,67.7
19911012,48.0,58.0,45.2,67.3
19911013,46.0,60.0,44.9,66.9
19911014,37.0,60.0,44.5,66.5
19911015,,,44.1,66.1
19911016,,,43.7,65.7
19911017,31.0,55.0,43.3,65.3
19911018,,,42.9,64.9
19911019,,,42.5,64.5
19911020,38.0,58.0,42.1,64.2
19911021,30.0,53.0,41.7,63.8
19911022,,,41.4,63.4
19911023,,,41.0,63.0
19911024,,,40.6,62.7
19911025,55.0,76.0,40.2,62.3
19911026,,,39.8,61.9
19911027,,,39.5,61.5
19911028,55.0,74.0,39.1,61.2
19911029,37.0,67.0,38.7,60.8
19911030,32.0,68.0,38.3,60.4
19911031,,,38.0,60.1
19911101,35.0,64.0,37.6,59.7
19911102,,,37.3,59.3
19911103,,,36.9,58.9
19911104,,,36.6,58.5
19911105,19.0,38.0,36.2,58.1
19911106,,,35.9,57.7
19911107,31.0,49.0,35.6,57.3
19911108,31.0,36.0,35.2,56.9
19911109,31.0,44.0,34.9,56.5
19911110,,,34.6,56.1
19911111,,,34.3,55.7
19911112,35.0,40.0,34.0,55.3
19911113,,,33.6,54.9
19911114,30.0,40.0,33.4,54.5
19911115,,,33.1,54.1
19911116,51.0,56.0,32.8,53.6
19911117,,,32.5,53.2
19911118,27.0,50.0,32.2,52.8
19911119,,,31.9,52.4
19911120,,,31.7,51.9
