date,city,precipitation,precipitation_normal,temp_min,temp_max,temp_normal_min,temp_normal_max
2004-01-01,Charlotte,0.00,0.12,26.0,64.0,32.4,52.4
2004-01-02,Charlotte,0.00,0.24,43.0,63.0,32.3,52.3
2004-01-03,Charlotte,0.00,0.37,44.0,74.0,32.2,52.2
2004-01-04,Charlotte,0.00,0.49,59.0,72.0,32.1,52.1
2004-01-05,Charlotte,0.25,0.61,48.0,71.0,32.0,52.1
2004-01-06,Charlotte,0.25,0.73,26.0,48.0,31.9,52.0
2004-01-07,Charlotte,0.25,0.85,17.0,40.0,31.8,52.0
2004-01-08,Charlotte,0.25,0.96,23.0,41.0,31.7,51.9
2004-01-09,Charlotte,0.33,1.07,31.0,38.0,31.7,51.9
2004-01-10,Charlotte,0.33,1.19,21.0,36.0,31.6,51.9
2004-01-11,Charlotte,0.33,1.31,18.0,39.0,31.6,51.9
2004-01-12,Charlotte,0.33,1.43,34.0,60.0,31.5,51.8
2004-01-13,Charlotte,0.33,1.54,28.0,60.0,31.5,51.9
2004-01-14,Charlotte,0.33,1.65,27.0,55.0,31.5,51.9
2004-01-15,Charlotte,0.33,1.76,35.0,55.0,31.5,51.9
2004-01-16,Charlotte,0.33,1.87,27.0,53.0,31.5,51.9
2004-01-17,Charlotte,0.39,1.99,31.0,51.0,31.5,52.0
2004-01-18,Charlotte,0.58,2.09,40.0,53.0,31.5,52.0
2004-01-19,Charlotte,0.58,2.2,25.0,46.0,31.5,52.1
2004-01-20,Charlotte,0.58,2.31,19.0,40.0,31.5,52.2
2004-01-21,Charlotte,0.58,2.42,24.0,47.0,31.6,52.3
2004-01-22,Charlotte,0.58,2.53,20.0,57.0,31.6,52.3
2004-01-23,Charlotte,0.58,2.64,20.0,47.0,31.7,52.4
2004-01-24,Charlotte,0.58,2.75,36.0,63.0,31.7,52.6
2004-01-25,Charlotte,0.92,2.86,20.0,48.0,31.8,52.7
2004-01-26,Charlotte,0.92,2.97,20.0,26.0,31.9,52.8
2004-01-27,Charlotte,0.92,3.07,26.0,33.0,32.0,52.9
2004-01-28,Charlotte,0.92,3.17,22.0,43.0,32.1,53.1
2004-01-29,Charlotte,0.92,3.28,21.0,52.0,32.2,53.2
2004-01-30,Charlotte,0.92,3.38,33.0,55.0,32.3,53.4
2004-01-31,Charlotte,0.92,3.49,21.0,45.0,32.4,53.5
2004-02-01,Charlotte,0.92,3.59,24.0,47.0,32.5,53.7
2004-02-02,Charlotte,1.18,3.7,24.0,42.0,32.7,53.9
2004-02-03,Charlotte,1.44,3.8,30.0,44.0,32.8,54.1
