date,city,precipitation,precipitation_normal,temp_min,temp_max,temp_normal_min,temp_normal_max
2004-01-01,Cleveland,0.15,0.11,23.0,47.0,24.4,36.7
2004-01-02,Cleveland,0.17,0.22,42.0,55.0,24.2,36.6
2004-01-03,Cleveland,0.20,0.33,41.0,61.0,24.0,36.5
2004-01-04,Cleveland,0.93,0.44,32.0,41.0,23.8,36.3
2004-01-05,Cleveland,1.03,0.54,25.0,35.0,23.6,36.2
2004-01-06,Cleveland,1.13,0.65,11.0,27.0,23.4,36.1
2004-01-07,Cleveland,1.13,0.75,12.0,21.0,23.2,36.0
2004-01-08,Cleveland,1.13,0.85,14.0,28.0,23.0,35.9
2004-01-09,Cleveland,1.20,0.96,14.0,25.0,22.9,35.8
2004-01-10,Cleveland,1.21,1.06,9.0,17.0,22.7,35.8
2004-01-11,Cleveland,1.21,1.16,16.0,38.0,22.5,35.7
2004-01-12,Cleveland,1.27,1.26,33.0,38.0,22.4,35.6
2004-01-13,Cleveland,1.32,1.37,21.0,34.0,22.3,35.6
2004-01-14,Cleveland,1.56,1.47,20.0,29.0,22.1,35.5
2004-01-15,Cleveland,1.70,1.57,10.0,27.0,22.0,35.5
2004-01-16,Cleveland,1.70,1.67,8.0,18.0,21.9,35.5
2004-01-17,Cleveland,1.79,1.77,9.0,33.0,21.8,35.5
2004-01-18,Cleveland,1.81,1.86,18.0,33.0,21.7,35.4
2004-01-19,Cleveland,1.89,1.96,16.0,19.0,21.6,35.4
2004-01-20,Cleveland,1.89,2.05,2.0,17.0,21.6,35.4
2004-01-21,Cleveland,1.89,2.14,2.0,32.0,21.5,35.5
2004-01-22,Cleveland,1.94,2.23,6.0,34.0,21.5,35.5
2004-01-23,Cleveland,2.04,2.32,4.0,14.0,21.5,35.5
2004-01-24,Cleveland,2.04,2.41,-4.0,16.0,21.4,35.6
2004-01-25,Cleveland,2.04,2.5,-7.0,19.0,21.4,35.6
2004-01-26,Cleveland,2.19,2.58,17.0,33.0,21.4,35.7
2004-01-27,Cleveland,2.43,2.67,20.0,37.0,21.4,35.7
2004-01-28,Cleveland,2.57,2.75,14.0,22.0,21.5,35.8
2004-01-29,Cleveland,2.66,2.83,9.0,16.0,21.5,35.9
2004-01-30,Cleveland,2.69,2.91,5.0,13.0,21.5,36.0
2004-01-31,Cleveland,2.69,2.99,2.0,18.0,21.6,36.1
2004-02-01,Cleveland,2.69,3.07,-0.0,27.0,21.7,36.2
2004-02-02,Cleveland,2.73,3.15,16.0,41.0,21.7,36.3
2004-02-03,Cleveland,2.86,3.23,28.0,39.0,21.8,36.4
2004-02-04,Cleveland,2.86,3.31,18.0,28.0,21.9,36.5
2004-02-05,Cleveland,2.90,3.39,18.0,34.0,22.0,36.7
2004-02-06,Cleveland,2.91,3.47,30.0,43.0,22.2,36.8
2004-02-07,Cleveland,3.04,3.55,20.0,31.0,22.3,36.9
2004-02-08,Cleveland,3.04,3.63,10.0,31.0,22.4,37.1
2004-02-09,Cleveland,3.04,3.71,25.0,39.0,22.6,37.3
2004-02-10,Cleveland,3.11,3.8,25.0,35.0,22.7,37.4
2004-02-11,Cleveland,3.12,3.88,17.0,32.0,22.9,37.6
2004-02-12,Cleveland,3.12,3.96,27.0,34.0,23.1,37.8
2004-02-13,Cleveland,3.12,4.05,24.0,30.0,23.2,38.0
2004-02-14,Cleveland,3.12,4.14,24.0,35.0,23.4,38.2
2004-02-15,Cleveland,3.15,4.23,12.0,24.0,23.6,38.4
2004-02-16,Cleveland,3.15,4.32,11.0,25.0,23.8,38.6
2004-02-17,Cleveland,3.15,4.41,18.0,35.0,24.0,38.8
2004-02-18,Cleveland,3.15,4.51,15.0,38.0,24.2,39.0
2004-02-19,Cleveland,3.15,4.6,34.0,48.0,24.4,39.3
2004-02-20,Cleveland,3.31,4.7,37.0,52.0,24.6,39.5
2004-02-21,Cleveland,3.39,4.79,31.0,37.0,24.8,39.7
2004-02-22,Cleveland,3.39,4.89,31.0,36.0,25.1,40.0
2004-02-23,Cleveland,3.42,4.98,30.0,42.0,25.3,40.2
2004-02-24,Cleveland,3.45,5.08,26.0,34.0,25.5,40.5
2004-02-25,Cleveland,3.45,5.18,22.0,35.0,25.7,40.8
2004-02-26,Cleveland,3.45,5.28,23.0,39.0,26.0,41.0
2004-02-27,Cleveland,3.45,5.38,24.0,43.0,26.2,41.3
2004-02-28,Cleveland,3.45,5.48,20.0,52.0,26.4,41.6
2004-02-29,Cleveland,3.45,5.48,29.0,59.0,26.6,41.7
2004-03-01,Cleveland,3.53,5.58,38.0,54.0,26.7,41.9
2004-03-02,Cleveland,3.55,5.67,43.0,56.0,26.9,42.2
2004-03-03,Cleveland,3.55,5.77,39.0,46.0,27.2,42.5
2004-03-04,Cleveland,3.99,5.86,40.0,51.0,27.4,42.8
2004-03-05,Cleveland,4.01,5.96,49.0,73.0,27.7,43.1
2004-03-06,Cleveland,4.01,6.06,38.0,53.0,27.9,43.4
2004-03-07,Cleveland,4.15,6.16,30.0,51.0,28.2,43.7
2004-03-08,Cleveland,4.32,6.25,30.0,35.0,28.4,44.0
2004-03-09,Cleveland,4.41,6.35,27.0,36.0,28.7,44.4
2004-03-10,Cleveland,4.41,6.45,20.0,44.0,28.9,44.7
2004-03-11,Cleveland,4.54,6.54,26.0,44.0,29.2,45.0
2004-03-12,Cleveland,4.65,6.64,23.0,27.0,29.5,45.4
2004-03-13,Cleveland,4.65,6.74,22.0,35.0,29.7,45.8
2004-03-14,Cleveland,4.66,6.84,29.0,48.0,30.0,46.1
2004-03-15,Cleveland,4.71,6.93,29.0,40.0,30.3,46.5
2004-03-16,Cleveland,5.23,7.03,27.0,30.0,30.6,46.9
2004-03-17,Cleveland,5.40,7.12,24.0,30.0,30.8,47.2
2004-03-18,Cleveland,5.48,7.22,25.0,39.0,31.1,47.6
2004-03-19,Cleveland,5.49,7.31,28.0,42.0,31.4,48.0
2004-03-20,Cleveland,5.88,7.41,36.0,51.0,31.7,48.4
2004-03-21,Cleveland,5.98,7.51,24.0,37.0,32.0,48.8
2004-03-22,Cleveland,5.99,7.61,22.0,30.0,32.3,49.2
2004-03-23,Cleveland,5.99,7.71,25.0,48.0,32.6,49.7
2004-03-24,Cleveland,6.23,7.81,36.0,53.0,32.9,50.1
2004-03-25,Cleveland,6.58,7.91,48.0,66.0,33.2,50.5
2004-03-26,Cleveland,7.10,8.01,56.0,68.0,33.6,50.9
2004-03-27,Cleveland,7.12,8.12,42.0,57.0,33.9,51.4
2004-03-28,Cleveland,7.12,8.22,40.0,70.0,34.2,51.8
2004-03-29,Cleveland,7.64,8.33,46.0,64.0,34.5,52.3
2004-03-30,Cleveland,8.04,8.43,40.0,47.0,34.9,52.7
2004-03-31,Cleveland,8.27,8.54,37.0,41.0,35.2,53.2
2004-04-01,Cleveland,8.85,8.66,33.0,37.0,35.6,53.6
2004-04-02,Cleveland,9.21,8.78,36.0,41.0,35.9,54.1
2004-04-03,Cleveland,9.53,8.9,33.0,55.0,36.3,54.5
2004-04-04,Cleveland,9.65,9.01,29.0,39.0,36.6,55.0
2004-04-05,Cleveland,9.65,9.13,27.0,38.0,37.0,55.4
2004-04-06,Cleveland,9.65,9.26,28.0,55.0,37.3,55.9
2004-04-07,Cleveland,9.65,9.38,34.0,53.0,37.7,56.4
2004-04-08,Cleveland,9.76,9.51,34.0,58.0,38.0,56.8
2004-04-09,Cleveland,9.76,9.64,38.0,51.0,38.4,57.3
2004-04-10,Cleveland,9.76,9.77,39.0,48.0,38.8,57.8
2004-04-11,Cleveland,9.76,9.9,39.0,47.0,39.1,58.2
2004-04-12,Cleveland,10.15,10.04,37.0,46.0,39.5,58.7
2004-04-13,Cleveland,10.81,10.17,37.0,40.0,39.9,59.1
2004-04-14,Cleveland,10.86,10.3,35.0,51.0,40.3,59.6
2004-04-15,Cleveland,10.86,10.43,31.0,57.0,40.6,60.0
2004-04-16,Cleveland,10.86,10.56,46.0,75.0,41.0,60.5
2004-04-17,Cleveland,10.86,10.69,58.0,77.0,41.4,60.9
2004-04-18,Cleveland,10.86,10.82,56.0,81.0,41.7,61.3
2004-04-19,Cleveland,10.88,10.95,47.0,75.0,42.1,61.8
2004-04-20,Cleveland,10.89,11.08,40.0,62.0,42.5,62.2
2004-04-21,Cleveland,11.20,11.21,60.0,69.0,42.8,62.6
2004-04-22,Cleveland,11.25,11.34,46.0,61.0,43.2,63.0
2004-04-23,Cleveland,11.28,11.46,44.0,54.0,43.6,63.4
2004-04-24,Cleveland,11.28,11.58,38.0,59.0,43.9,63.8
2004-04-25,Cleveland,11.74,11.69,47.0,70.0,44.3,64.2
2004-04-26,Cleveland,11.74,11.81,48.0,62.0,44.6,64.6
2004-04-27,Cleveland,11.84,11.93,35.0,49.0,45.0,65.0
2004-04-28,Cleveland,11.84,12.05,31.0,66.0,45.3,65.4
2004-04-29,Cleveland,11.84,12.17,57.0,77.0,45.7,65.7
2004-04-30,Cleveland,12.01,12.29,57.0,65.0,46.0,66.1
2004-05-01,Cleveland,12.32,12.41,45.0,70.0,46.4,66.4
2004-05-02,Cleveland,13.45,12.54,40.0,46.0,46.7,66.8
2004-05-03,Cleveland,13.45,12.66,33.0,47.0,47.1,67.1
2004-05-04,Cleveland,13.46,12.79,31.0,59.0,47.4,67.5
2004-05-05,Cleveland,13.47,12.91,43.0,58.0,47.7,67.8
2004-05-06,Cleveland,13.47,13.02,43.0,83.0,48.1,68.1
2004-05-07,Cleveland,13.62,13.14,46.0,71.0,48.4,68.5
2004-05-08,Cleveland,13.62,13.26,44.0,75.0,48.7,68.8
2004-05-09,Cleveland,13.62,13.38,50.0,81.0,49.1,69.1
2004-05-10,Cleveland,13.62,13.49,58.0,85.0,49.4,69.4
2004-05-11,Cleveland,14.15,13.61,61.0,79.0,49.7,69.7
2004-05-12,Cleveland,14.15,13.73,63.0,83.0,50.1,70.0
2004-05-13,Cleveland,14.15,13.84,64.0,84.0,50.4,70.3
2004-05-14,Cleveland,14.38,13.96,66.0,82.0,50.7,70.6
2004-05-15,Cleveland,14.70,14.08,48.0,67.0,51.1,70.9
2004-05-16,Cleveland,14.70,14.2,47.0,61.0,51.4,71.2
2004-05-17,Cleveland,14.85,14.33,47.0,80.0,51.7,71.4
2004-05-18,Cleveland,15.01,14.45,56.0,79.0,52.1,71.7
2004-05-19,Cleveland,15.18,14.58,53.0,64.0,52.4,72.0
2004-05-20,Cleveland,15.18,14.7,56.0,83.0,52.7,72.3
2004-05-21,Cleveland,16.27,14.83,58.0,76.0,53.1,72.6
