date,city,precipitation,precipitation_normal,temp_min,temp_max,temp_normal_min,temp_normal_max
2004-01-01,Las Vegas,0.00,0.02,37.0,57.0,37.9,56.0
2004-01-02,Las Vegas,0.00,0.05,49.0,56.0,38.0,56.1
2004-01-03,Las Vegas,0.00,0.07,38.0,51.0,38.1,56.2
2004-01-04,Las Vegas,0.00,0.09,30.0,46.0,38.2,56.4
2004-01-05,Las Vegas,0.00,0.12,34.0,48.0,38.3,56.5
2004-01-06,Las Vegas,0.00,0.14,32.0,49.0,38.4,56.7
2004-01-07,Las Vegas,0.00,0.16,40.0,56.0,38.5,56.8
2004-01-08,Las Vegas,0.00,0.18,36.0,59.0,38.6,56.9
2004-01-09,Las Vegas,0.00,0.2,,,38.7,57.1
2004-01-10,Las Vegas,0.00,0.22,,,38.9,57.2
2004-01-11,Las Vegas,0.00,0.25,41.0,65.0,39.0,57.4
2004-01-12,Las Vegas,0.00,0.27,39.0,64.0,39.1,57.5
2004-01-13,Las Vegas,0.00,0.29,41.0,65.0,39.2,57.7
2004-01-14,Las Vegas,0.00,0.31,43.0,63.0,39.3,57.8
2004-01-15,Las Vegas,0.00,0.34,39.0,62.0,39.4,58.0
2004-01-16,Las Vegas,0.00,0.36,39.0,62.0,39.5,58.1
2004-01-17,Las Vegas,0.00,0.38,40.0,59.0,39.6,58.2
2004-01-18,Las Vegas,0.00,0.41,35.0,57.0,39.6,58.3
2004-01-19,Las Vegas,0.00,0.43,42.0,59.0,39.7,58.5
2004-01-20,Las Vegas,T,0.45,38.0,58.0,39.8,58.6
2004-01-21,Las Vegas,T,0.47,41.0,57.0,39.9,58.7
2004-01-22,Las Vegas,T,0.49,40.0,61.0,40.0,58.8
2004-01-23,Las Vegas,T,0.51,34.0,59.0,40.1,58.9
2004-01-24,Las Vegas,T,0.53,34.0,56.0,40.2,59.1
2004-01-25,Las Vegas,T,0.55,36.0,58.0,40.2,59.2
2004-01-26,Las Vegas,T,0.57,29.0,50.0,40.3,59.3
2004-01-27,Las Vegas,T,0.59,32.0,52.0,40.4,59.4
2004-01-28,Las Vegas,0.03,0.61,41.0,59.0,40.5,59.5
2004-01-29,Las Vegas,0.03,0.63,,,40.6,59.6
2004-01-30,Las Vegas,0.03,0.65,,,40.7,59.7
2004-01-31,Las Vegas,0.03,0.67,,,40.8,59.8
2004-02-01,Las Vegas,0.03,0.69,,,40.8,60.0
2004-02-02,Las Vegas,0.03,0.71,40.0,56.0,40.9,60.1
2004-02-03,Las Vegas,0.08,0.74,44.0,66.0,41.0,60.2
2004-02-04,Las Vegas,0.08,0.76,48.0,63.0,41.1,60.3
2004-02-05,Las Vegas,0.08,0.78,,,41.2,60.5
2004-02-06,Las Vegas,0.08,0.81,,,41.4,60.6
2004-02-07,Las Vegas,0.08,0.83,,,41.5,60.8
2004-02-08,Las Vegas,0.08,0.86,,,41.6,60.9
2004-02-09,Las Vegas,0.08,0.89,,,41.7,61.1
2004-02-10,Las Vegas,0.08,0.92,,,41.9,61.3
2004-02-11,Las Vegas,0.08,0.95,37.0,59.0,42.0,61.4
2004-02-12,Las Vegas,0.08,0.98,36.0,53.0,42.1,61.6
2004-02-13,Las Vegas,0.08,1.01,28.0,53.0,42.3,61.8
2004-02-14,Las Vegas,0.08,1.04,33.0,59.0,42.4,62.0
2004-02-15,Las Vegas,0.08,1.07,36.0,63.0,42.6,62.2
2004-02-16,Las Vegas,0.08,1.1,40.0,63.0,42.8,62.5
2004-02-17,Las Vegas,0.08,1.14,45.0,67.0,42.9,62.7
2004-02-18,Las Vegas,0.08,1.17,46.0,69.0,43.1,62.9
2004-02-19,Las Vegas,0.08,1.2,49.0,65.0,43.3,63.2
2004-02-20,Las Vegas,0.16,1.23,44.0,57.0,43.5,63.4
2004-02-21,Las Vegas,0.37,1.27,44.0,51.0,43.7,63.7
2004-02-22,Las Vegas,1.17,1.3,45.0,50.0,43.9,64.0
2004-02-23,Las Vegas,1.52,1.33,44.0,53.0,44.1,64.3
2004-02-24,Las Vegas,1.52,1.36,40.0,56.0,44.3,64.5
2004-02-25,Las Vegas,1.58,1.39,40.0,59.0,44.5,64.8
2004-02-26,Las Vegas,1.95,1.42,48.0,60.0,44.7,65.1
2004-02-27,Las Vegas,1.95,1.46,44.0,54.0,44.9,65.4
2004-02-28,Las Vegas,1.95,1.49,43.0,58.0,45.2,65.8
2004-02-29,Las Vegas,1.95,1.49,42.0,58.0,45.3,65.9
2004-03-01,Las Vegas,2.02,1.52,42.0,52.0,45.4,66.1
2004-03-02,Las Vegas,2.17,1.55,43.0,54.0,45.6,66.4
2004-03-03,Las Vegas,2.17,1.58,45.0,63.0,45.8,66.7
2004-03-04,Las Vegas,2.17,1.61,49.0,63.0,46.0,67.0
2004-03-05,Las Vegas,2.17,1.64,47.0,63.0,46.3,67.3
2004-03-06,Las Vegas,2.17,1.66,45.0,70.0,46.5,67.6
2004-03-07,Las Vegas,2.17,1.69,53.0,76.0,46.7,68.0
2004-03-08,Las Vegas,2.17,1.71,54.0,79.0,46.9,68.3
2004-03-09,Las Vegas,2.17,1.73,53.0,80.0,47.1,68.6
2004-03-10,Las Vegas,2.17,1.75,61.0,79.0,47.3,68.9
2004-03-11,Las Vegas,2.17,1.77,58.0,78.0,47.6,69.2
2004-03-12,Las Vegas,2.17,1.79,54.0,78.0,47.8,69.5
2004-03-13,Las Vegas,2.17,1.8,58.0,80.0,48.0,69.8
2004-03-14,Las Vegas,2.17,1.82,52.0,83.0,48.2,70.1
2004-03-15,Las Vegas,2.17,1.83,62.0,80.0,48.4,70.4
2004-03-16,Las Vegas,2.17,1.84,57.0,80.0,48.6,70.7
2004-03-17,Las Vegas,2.17,1.85,57.0,81.0,48.8,71.0
2004-03-18,Las Vegas,2.17,1.86,54.0,84.0,49.0,71.2
2004-03-19,Las Vegas,2.17,1.87,56.0,87.0,49.2,71.5
2004-03-20,Las Vegas,2.17,1.89,58.0,90.0,49.4,71.8
2004-03-21,Las Vegas,2.17,1.9,61.0,90.0,49.5,72.0
2004-03-22,Las Vegas,2.17,1.91,59.0,90.0,49.7,72.3
2004-03-23,Las Vegas,2.17,1.92,66.0,88.0,49.9,72.5
2004-03-24,Las Vegas,2.17,1.93,59.0,84.0,50.1,72.8
2004-03-25,Las Vegas,2.17,1.94,56.0,82.0,50.3,73.0
2004-03-26,Las Vegas,2.17,1.95,60.0,77.0,50.5,73.2
2004-03-27,Las Vegas,2.17,1.96,58.0,76.0,50.7,73.5
2004-03-28,Las Vegas,2.17,1.97,57.0,75.0,50.8,73.7
2004-03-29,Las Vegas,2.17,1.98,50.0,80.0,51.0,73.9
