date,city,precipitation,precipitation_normal,temp_min,temp_max,temp_normal_min,temp_normal_max
2004-01-01,Phoenix,0.00,0.03,53.0,65.0,44.7,65.7
2004-01-02,Phoenix,0.00,0.06,47.0,68.0,44.8,65.8
2004-01-03,Phoenix,T,0.09,46.0,62.0,44.9,66.0
2004-01-04,Phoenix,T,0.12,38.0,56.0,44.9,66.1
2004-01-05,Phoenix,T,0.15,36.0,58.0,45.0,66.2
2004-01-06,Phoenix,T,0.18,37.0,72.0,45.1,66.4
2004-01-07,Phoenix,T,0.21,45.0,68.0,45.2,66.5
2004-01-08,Phoenix,T,0.24,46.0,74.0,45.3,66.7
2004-01-09,Phoenix,T,0.27,47.0,77.0,45.4,66.8
2004-01-10,Phoenix,T,0.3,55.0,79.0,45.5,66.9
2004-01-11,Phoenix,T,0.33,51.0,79.0,45.6,67.1
2004-01-12,Phoenix,T,0.36,56.0,78.0,45.7,67.2
2004-01-13,Phoenix,T,0.39,55.0,78.0,45.8,67.4
2004-01-14,Phoenix,T,0.42,56.0,73.0,45.9,67.5
2004-01-15,Phoenix,T,0.45,52.0,70.0,46.0,67.6
2004-01-16,Phoenix,T,0.48,49.0,71.0,46.0,67.7
2004-01-17,Phoenix,T,0.51,47.0,69.0,46.1,67.9
2004-01-18,Phoenix,T,0.54,47.0,70.0,46.2,68.0
2004-01-19,Phoenix,T,0.57,47.0,68.0,46.3,68.1
2004-01-20,Phoenix,T,0.6,53.0,66.0,46.4,68.2
2004-01-21,Phoenix,0.16,0.63,51.0,63.0,46.5,68.3
2004-01-22,Phoenix,0.51,0.65,50.0,65.0,46.5,68.4
2004-01-23,Phoenix,0.54,0.67,52.0,69.0,46.6,68.5
2004-01-24,Phoenix,0.61,0.7,51.0,59.0,46.7,68.6
2004-01-25,Phoenix,0.82,0.72,49.0,61.0,46.8,68.6
2004-01-26,Phoenix,0.82,0.75,40.0,59.0,46.8,68.7
2004-01-27,Phoenix,0.82,0.77,38.0,62.0,46.9,68.8
2004-01-28,Phoenix,0.82,0.79,44.0,62.0,47.0,68.9
2004-01-29,Phoenix,0.82,0.82,41.0,66.0,47.1,69.0
2004-01-30,Phoenix,0.82,0.84,44.0,68.0,47.1,69.0
2004-01-31,Phoenix,0.82,0.87,47.0,62.0,47.2,69.1
2004-02-01,Phoenix,0.82,0.9,44.0,61.0,47.3,69.2
2004-02-02,Phoenix,0.82,0.92,42.0,67.0,47.4,69.2
2004-02-03,Phoenix,0.85,0.95,48.0,59.0,47.5,69.3
2004-02-04,Phoenix,0.85,0.97,42.0,61.0,47.6,69.4
2004-02-05,Phoenix,0.85,1.0,40.0,62.0,47.7,69.5
2004-02-06,Phoenix,0.85,1.02,39.0,64.0,47.8,69.6
2004-02-07,Phoenix,0.85,1.05,39.0,69.0,47.9,69.6
2004-02-08,Phoenix,0.85,1.08,41.0,64.0,48.0,69.7
2004-02-09,Phoenix,0.85,1.1,40.0,66.0,48.1,69.8
2004-02-10,Phoenix,0.85,1.13,43.0,68.0,48.2,69.9
2004-02-11,Phoenix,0.85,1.16,42.0,66.0,48.3,70.1
2004-02-12,Phoenix,0.85,1.18,41.0,64.0,48.5,70.2
2004-02-13,Phoenix,0.85,1.21,37.0,61.0,48.6,70.3
2004-02-14,Phoenix,0.85,1.24,41.0,65.0,48.8,70.4
2004-02-15,Phoenix,0.85,1.28,42.0,71.0,48.9,70.6
2004-02-16,Phoenix,0.85,1.31,47.0,74.0,49.1,70.7
2004-02-17,Phoenix,0.85,1.34,49.0,81.0,49.2,70.9
2004-02-18,Phoenix,0.85,1.37,52.0,80.0,49.4,71.1
2004-02-19,Phoenix,0.85,1.4,55.0,67.0,49.6,71.3
2004-02-20,Phoenix,0.85,1.44,54.0,66.0,49.7,71.5
2004-02-21,Phoenix,0.85,1.48,53.0,71.0,49.9,71.7
2004-02-22,Phoenix,0.87,1.52,52.0,63.0,50.1,71.9
2004-02-23,Phoenix,1.81,1.55,49.0,57.0,50.3,72.1
2004-02-24,Phoenix,1.84,1.59,49.0,63.0,50.5,72.4
2004-02-25,Phoenix,1.84,1.63,47.0,67.0,50.7,72.6
2004-02-26,Phoenix,1.84,1.66,50.0,73.0,50.9,72.9
2004-02-27,Phoenix,1.84,1.7,52.0,63.0,51.1,73.1
2004-02-28,Phoenix,1.84,1.74,44.0,62.0,51.3,73.4
2004-02-29,Phoenix,1.84,1.74,44.0,66.0,51.4,73.5
2004-03-01,Phoenix,1.84,1.78,45.0,67.0,51.5,73.7
2004-03-02,Phoenix,1.86,1.81,51.0,64.0,51.7,73.9
2004-03-03,Phoenix,1.87,1.85,50.0,65.0,51.9,74.2
2004-03-04,Phoenix,2.98,1.88,48.0,58.0,52.1,74.5
2004-03-05,Phoenix,3.03,1.92,49.0,66.0,52.3,74.8
2004-03-06,Phoenix,3.03,1.95,50.0,72.0,52.5,75.1
2004-03-07,Phoenix,3.03,1.98,53.0,86.0,52.7,75.4
2004-03-08,Phoenix,3.03,2.01,57.0,90.0,53.0,75.7
2004-03-09,Phoenix,3.03,2.04,59.0,92.0,53.2,76.0
2004-03-10,Phoenix,3.03,2.07,60.0,91.0,53.4,76.4
2004-03-11,Phoenix,3.03,2.1,63.0,87.0,53.6,76.7
2004-03-12,Phoenix,3.03,2.13,63.0,82.0,53.8,77.0
2004-03-13,Phoenix,3.12,2.17,62.0,80.0,54.0,77.3
2004-03-14,Phoenix,3.12,2.2,60.0,86.0,54.2,77.6
2004-03-15,Phoenix,3.12,2.22,60.0,89.0,54.4,77.9
