date,city,precipitation,precipitation_normal,temp_min,temp_max,temp_normal_min,temp_normal_max
2004-01-01,Pittsburgh,0.00,0.11,30.0,45.0,22.6,40.1
2004-01-02,Pittsburgh,0.36,0.22,,,22.4,40.0
2004-01-03,Pittsburgh,0.42,0.33,,,22.2,39.9
2004-01-04,Pittsburgh,1.14,0.44,,,22.1,39.8
2004-01-05,Pittsburgh,3.29,0.55,30.0,49.0,21.9,39.7
2004-01-06,Pittsburgh,3.29,0.66,,,21.7,39.6
2004-01-07,Pittsburgh,3.29,0.77,,,21.5,39.5
2004-01-08,Pittsburgh,3.29,0.87,,,21.3,39.5
2004-01-09,Pittsburgh,3.29,0.98,8.0,24.0,21.2,39.4
2004-01-10,Pittsburgh,3.29,1.09,,,21.0,39.4
2004-01-11,Pittsburgh,3.29,1.2,,,20.8,39.3
2004-01-12,Pittsburgh,3.29,1.31,,,20.7,39.2
2004-01-13,Pittsburgh,3.29,1.42,,,20.5,39.2
2004-01-14,Pittsburgh,3.29,1.54,14.0,37.0,20.4,39.2
2004-01-15,Pittsburgh,3.29,1.65,11.0,36.0,20.3,39.1
2004-01-16,Pittsburgh,3.29,1.77,,,20.2,39.1
2004-01-17,Pittsburgh,3.29,1.88,,,20.0,39.1
2004-01-18,Pittsburgh,3.29,2.0,,,19.9,39.0
2004-01-19,Pittsburgh,3.29,2.11,,,19.8,39.0
2004-01-20,Pittsburgh,3.29,2.22,11.0,21.0,19.8,39.0
2004-01-21,Pittsburgh,3.29,2.33,6.0,25.0,19.7,39.0
2004-01-22,Pittsburgh,3.29,2.43,,,19.6,39.0
2004-01-23,Pittsburgh,3.29,2.53,,,19.6,39.0
2004-01-24,Pittsburgh,3.29,2.64,,,19.5,39.0
2004-01-25,Pittsburgh,3.29,2.74,2.0,17.0,19.5,39.0
2004-01-26,Pittsburgh,3.29,2.85,,,19.5,39.1
2004-01-27,Pittsburgh,3.29,2.95,21.0,37.0,19.5,39.1
2004-01-28,Pittsburgh,3.29,3.05,,,19.5,39.2
2004-01-29,Pittsburgh,3.29,3.15,13.0,21.0,19.5,39.2
2004-01-30,Pittsburgh,3.29,3.25,10.0,19.0,19.5,39.3
2004-01-31,Pittsburgh,3.29,3.36,,,19.6,39.3
2004-02-01,Pittsburgh,3.29,3.46,5.0,25.0,19.6,39.4
2004-02-02,Pittsburgh,3.29,3.56,,,19.7,39.5
2004-02-03,Pittsburgh,3.52,3.66,,,19.8,39.6
2004-02-04,Pittsburgh,4.00,3.76,,,19.9,39.7
2004-02-05,Pittsburgh,4.00,3.86,21.0,35.0,20.0,39.8
2004-02-06,Pittsburgh,5.10,3.96,,,20.1,39.9
2004-02-07,Pittsburgh,5.13,4.05,,,20.2,40.1
2004-02-08,Pittsburgh,5.17,4.15,12.0,30.0,20.3,40.2
2004-02-09,Pittsburgh,5.17,4.24,,,20.5,40.4
2004-02-10,Pittsburgh,5.17,4.34,,,20.6,40.5
2004-02-11,Pittsburgh,5.17,4.43,21.0,33.0,20.8,40.7
2004-02-12,Pittsburgh,5.17,4.53,,,21.0,40.9
2004-02-13,Pittsburgh,5.17,4.63,,,21.2,41.1
2004-02-14,Pittsburgh,5.17,4.73,23.0,37.0,21.3,41.3
2004-02-15,Pittsburgh,5.17,4.83,17.0,29.0,21.5,41.5
2004-02-16,Pittsburgh,5.17,4.92,7.0,30.0,21.7,41.7
2004-02-17,Pittsburgh,5.17,5.02,,,22.0,41.9
2004-02-18,Pittsburgh,5.17,5.12,24.0,37.0,22.2,42.2
2004-02-19,Pittsburgh,5.17,5.23,,,22.4,42.4
2004-02-20,Pittsburgh,5.17,5.33,36.0,59.0,22.6,42.7
2004-02-21,Pittsburgh,5.20,5.43,32.0,41.0,22.9,43.0
2004-02-22,Pittsburgh,5.20,5.53,33.0,40.0,23.1,43.3
2004-02-23,Pittsburgh,5.20,5.63,28.0,42.0,23.4,43.5
2004-02-24,Pittsburgh,5.26,5.73,27.0,38.0,23.6,43.8
2004-02-25,Pittsburgh,5.27,5.83,21.0,38.0,23.9,44.1
2004-02-26,Pittsburgh,5.27,5.94,,,24.1,44.5
2004-02-27,Pittsburgh,5.27,6.04,27.0,48.0,24.4,44.8
2004-02-28,Pittsburgh,5.27,6.14,26.0,54.0,24.7,45.1
2004-02-29,Pittsburgh,5.27,6.14,,,24.8,45.3
2004-03-01,Pittsburgh,5.27,6.24,32.0,66.0,24.9,45.4
2004-03-02,Pittsburgh,5.27,6.34,,,25.2,45.8
2004-03-03,Pittsburgh,5.27,6.44,37.0,54.0,25.5,46.1
2004-03-04,Pittsburgh,5.44,6.53,,,25.8,46.5
2004-03-05,Pittsburgh,5.45,6.63,,,26.1,46.8
2004-03-06,Pittsburgh,5.67,6.73,40.0,56.0,26.3,47.2
2004-03-07,Pittsburgh,5.74,6.84,,,26.6,47.6
2004-03-08,Pittsburgh,5.80,6.95,31.0,37.0,26.9,47.9
2004-03-09,Pittsburgh,5.80,7.06,28.0,39.0,27.2,48.3
2004-03-10,Pittsburgh,5.80,7.17,25.0,45.0,27.5,48.7
2004-03-11,Pittsburgh,5.80,7.27,,,27.8,49.1
2004-03-12,Pittsburgh,5.80,7.38,24.0,38.0,28.1,49.5
2004-03-13,Pittsburgh,5.80,7.48,23.0,39.0,28.4,49.9
2004-03-14,Pittsburgh,5.80,7.59,,,28.7,50.3
2004-03-15,Pittsburgh,5.82,7.69,,,28.9,50.7
2004-03-16,Pittsburgh,5.82,7.79,,,29.2,51.1
2004-03-17,Pittsburgh,5.82,7.89,26.0,30.0,29.5,51.5
2004-03-18,Pittsburgh,5.83,7.99,27.0,43.0,29.8,51.9
2004-03-19,Pittsburgh,6.05,8.09,30.0,43.0,30.1,52.3
2004-03-20,Pittsburgh,6.05,8.19,32.0,59.0,30.4,52.7
2004-03-21,Pittsburgh,6.61,8.29,24.0,47.0,30.7,53.1
2004-03-22,Pittsburgh,6.63,8.39,,,31.1,53.6
2004-03-23,Pittsburgh,6.63,8.5,,,31.4,54.0
2004-03-24,Pittsburgh,6.63,8.6,,,31.7,54.4
2004-03-25,Pittsburgh,6.70,8.7,,,32.0,54.8
2004-03-26,Pittsburgh,6.70,8.8,49.0,74.0,32.3,55.3
2004-03-27,Pittsburgh,6.70,8.9,48.0,64.0,32.6,55.7
2004-03-28,Pittsburgh,6.70,9.01,42.0,67.0,32.9,56.1
2004-03-29,Pittsburgh,6.70,9.11,46.0,68.0,33.2,56.6
2004-03-30,Pittsburgh,6.70,9.22,45.0,55.0,33.6,57.0
2004-03-31,Pittsburgh,7.12,9.32,40.0,48.0,33.9,57.5
2004-04-01,Pittsburgh,7.49,9.42,35.0,47.0,34.2,57.9
2004-04-02,Pittsburgh,8.03,9.53,35.0,46.0,34.5,58.3
2004-04-03,Pittsburgh,8.04,9.64,37.0,55.0,34.8,58.8
2004-04-04,Pittsburgh,8.14,9.75,30.0,39.0,35.2,59.2
2004-04-05,Pittsburgh,8.14,9.85,23.0,42.0,35.5,59.7
2004-04-06,Pittsburgh,8.14,9.95,,,35.8,60.1
2004-04-07,Pittsburgh,8.14,10.05,,,36.2,60.5
2004-04-08,Pittsburgh,8.14,10.16,39.0,52.0,36.5,61.0
2004-04-09,Pittsburgh,8.46,10.26,,,36.8,61.4
2004-04-10,Pittsburgh,8.46,10.37,39.0,58.0,37.2,61.8
2004-04-11,Pittsburgh,8.46,10.47,38.0,51.0,37.5,62.3
2004-04-12,Pittsburgh,8.46,10.58,37.0,45.0,37.9,62.7
2004-04-13,Pittsburgh,9.39,10.69,,,38.2,63.1
2004-04-14,Pittsburgh,10.46,10.8,36.0,50.0,38.6,63.5
2004-04-15,Pittsburgh,10.49,10.91,35.0,59.0,38.9,64.0
2004-04-16,Pittsburgh,10.49,11.02,,,39.2,64.4
2004-04-17,Pittsburgh,10.49,11.13,,,39.6,64.8
2004-04-18,Pittsburgh,10.49,11.24,,,39.9,65.2
2004-04-19,Pittsburgh,10.49,11.35,59.0,76.0,40.3,65.6
2004-04-20,Pittsburgh,10.67,11.46,,,40.6,66.0
2004-04-21,Pittsburgh,10.67,11.56,,,41.0,66.4
2004-04-22,Pittsburgh,10.67,11.67,57.0,65.0,41.3,66.7
2004-04-23,Pittsburgh,10.77,11.77,55.0,60.0,41.7,67.1
2004-04-24,Pittsburgh,10.77,11.88,46.0,65.0,42.0,67.5
2004-04-25,Pittsburgh,10.96,11.99,,,42.4,67.8
2004-04-26,Pittsburgh,10.96,12.1,52.0,65.0,42.7,68.2
2004-04-27,Pittsburgh,10.96,12.21,,,43.1,68.5
2004-04-28,Pittsburgh,11.06,12.32,32.0,65.0,43.4,68.9
2004-04-29,Pittsburgh,11.06,12.43,,,43.8,69.2
2004-04-30,Pittsburgh,11.06,12.54,,,44.1,69.5
2004-05-01,Pittsburgh,11.06,12.64,,,44.5,69.8
2004-05-02,Pittsburgh,11.06,12.75,41.0,72.0,44.8,70.1
2004-05-03,Pittsburgh,11.21,12.86,,,45.1,70.4
2004-05-04,Pittsburgh,11.21,12.97,34.0,61.0,45.5,70.7
2004-05-05,Pittsburgh,11.21,13.08,,,45.8,71.0
2004-05-06,Pittsburgh,11.21,13.19,43.0,81.0,46.2,71.3
2004-05-07,Pittsburgh,11.21,13.29,,,46.5,71.6
2004-05-08,Pittsburgh,11.21,13.4,45.0,78.0,46.8,71.8
2004-05-09,Pittsburgh,11.21,13.5,,,47.2,72.1
2004-05-10,Pittsburgh,11.21,13.61,63.0,86.0,47.5,72.3
2004-05-11,Pittsburgh,11.23,13.72,,,47.9,72.6
2004-05-12,Pittsburgh,11.23,13.82,62.0,84.0,48.2,72.8
2004-05-13,Pittsburgh,11.23,13.93,62.0,84.0,48.5,73.1
2004-05-14,Pittsburgh,11.28,14.04,,,48.9,73.3
2004-05-15,Pittsburgh,11.28,14.15,54.0,73.0,49.2,73.6
2004-05-16,Pittsburgh,11.35,14.27,51.0,73.0,49.5,73.8
2004-05-17,Pittsburgh,11.35,14.39,52.0,81.0,49.9,74.0
2004-05-18,Pittsburgh,12.80,14.5,,,50.2,74.2
2004-05-19,Pittsburgh,14.16,14.62,63.0,71.0,50.5,74.5
2004-05-20,Pittsburgh,14.27,14.75,60.0,77.0,50.9,74.7
2004-05-21,Pittsburgh,15.08,14.87,60.0,76.0,51.2,74.9
2004-05-22,Pittsburgh,15.49,15.0,60.0,82.0,51.5,75.2
2004-05-23,Pittsburgh,15.53,15.12,,,51.8,75.4
2004-05-24,Pittsburgh,15.53,15.24,64.0,81.0,52.2,75.6
2004-05-25,Pittsburgh,15.53,15.36,55.0,82.0,52.5,75.8
2004-05-26,Pittsburgh,15.58,15.47,,,52.8,76.1
2004-05-27,Pittsburgh,15.58,15.59,62.0,75.0,53.1,76.3
2004-05-28,Pittsburgh,15.58,15.7,51.0,70.0,53.5,76.5
2004-05-29,Pittsburgh,15.65,15.82,43.0,70.0,53.8,76.8
2004-05-30,Pittsburgh,15.65,15.94,,,54.1,77.0
2004-05-31,Pittsburgh,15.81,16.06,,,54.4,77.3
2004-06-01,Pittsburgh,16.08,16.18,56.0,74.0,54.8,77.5
2004-06-02,Pittsburgh,16.10,16.29,55.0,75.0,55.1,77.8
2004-06-03,Pittsburgh,16.35,16.4,55.0,74.0,55.4,78.0
2004-06-04,Pittsburgh,16.35,16.53,53.0,75.0,55.7,78.3
2004-06-05,Pittsburgh,16.47,16.65,,,56.0,78.5
2004-06-06,Pittsburgh,16.64,16.78,57.0,75.0,56.3,78.8
2004-06-07,Pittsburgh,16.64,16.9,59.0,83.0,56.6,79.0
2004-06-08,Pittsburgh,16.64,17.03,60.0,86.0,56.9,79.3
2004-06-09,Pittsburgh,16.64,17.15,,,57.2,79.6
2004-06-10,Pittsburgh,16.76,17.28,66.0,78.0,57.5,79.8
2004-06-11,Pittsburgh,16.89,17.4,56.0,71.0,57.8,80.1
2004-06-12,Pittsburgh,17.65,17.53,55.0,73.0,58.1,80.4
2004-06-13,Pittsburgh,17.65,17.65,,,58.4,80.6
2004-06-14,Pittsburgh,18.30,17.77,64.0,83.0,58.7,80.9
