date,city,count_review,avg_stars,diff_precip,avg_temp
2015-01-01,Charlotte,50,3.18,0.0,39.5
2015-01-02,Charlotte,93,3.6452,0.12,47.0
2015-01-03,Charlotte,93,3.6237,0.25,49.5
2015-01-04,Charlotte,93,3.5376,0.26,56.0
2015-01-05,Charlotte,74,3.7703,0.0,45.0
2015-01-06,Charlotte,45,3.6667,0.0,40.5
2015-01-07,Charlotte,50,3.48,0.0,28.5
2015-01-08,Charlotte,81,3.7407,0.0,18.0
2015-01-09,Charlotte,52,3.4038,0.0,33.5
2015-01-10,Charlotte,65,3.6,0.0,30.0
2015-01-11,Charlotte,95,3.8211,0.08,30.5
2015-01-12,Charlotte,54,3.6296,0.98,41.0
2015-01-13,Charlotte,84,3.7976,0.04,41.0
2015-01-14,Charlotte,74,3.4595,0.0,35.0
2015-01-15,Charlotte,48,4.0208,0.0,34.0
2015-01-16,Charlotte,52,3.8077,0.0,43.0
2015-01-17,Charlotte,68,3.8529,0.0,40.5
2015-01-18,Charlotte,103,3.3592,0.02,49.0
2015-01-19,Charlotte,61,3.377,0.0,48.5
2015-01-20,Charlotte,54,3.5741,0.0,53.0
2015-01-21,Charlotte,76,3.9868,0.0,50.0
2015-01-22,Charlotte,61,3.6885,0.0,41.0
2015-01-23,Charlotte,85,3.6824,0.88,40.5
2015-01-24,Charlotte,92,3.6739,0.16,43.0
2015-01-25,Charlotte,90,3.5778,0.0,42.5
2015-01-26,Charlotte,96,3.8542,0.01,45.0
2015-01-27,Charlotte,74,3.2838,0.0,38.5
2015-01-28,Charlotte,68,3.9118,0.0,36.0
2015-01-29,Charlotte,78,3.5641,0.0,37.5
2015-01-30,Charlotte,74,3.973,0.0,37.5
2015-01-31,Charlotte,105,3.6,0.0,35.0
2015-02-01,Charlotte,82,3.4634,0.01,46.5
2015-02-02,Charlotte,57,3.2982,0.39,41.5
2015-02-03,Charlotte,60,4.05,0.0,34.0
2015-02-04,Charlotte,53,3.434,0.0,40.5
2015-02-05,Charlotte,62,3.8226,0.0,39.5
2015-02-06,Charlotte,62,3.4516,0.0,31.5
2015-02-07,Charlotte,74,3.4865,0.0,46.5
2015-02-08,Charlotte,96,3.6667,0.0,58.5
2015-02-09,Charlotte,70,3.6714,0.87,56.0
2015-02-10,Charlotte,68,3.7206,0.13,45.0
2015-02-11,Charlotte,84,3.8095,0.0,41.5
2015-02-12,Charlotte,60,3.7833,0.0,41.5
2015-02-13,Charlotte,50,3.7,0.0,30.5
2015-02-14,Charlotte,101,3.8317,0.0,39.5
2015-02-15,Charlotte,151,3.5364,0.0,25.0
2015-02-16,Charlotte,95,3.4947,0.51,28.5
2015-02-17,Charlotte,73,3.8219,0.15,28.5
2015-02-18,Charlotte,74,3.7568,0.0,31.5
2015-02-19,Charlotte,62,3.629,0.0,19.0
2015-02-20,Charlotte,84,3.8095,0.0,19.0
2015-02-21,Charlotte,71,3.7183,0.0,34.0
2015-02-22,Charlotte,98,3.6224,0.18,46.5
2015-02-23,Charlotte,101,3.5446,0.02,43.5
2015-02-24,Charlotte,65,3.7846,0.07,31.5
2015-02-25,Charlotte,71,3.6761,0.48,35.5
2015-02-26,Charlotte,53,3.9811,0.21,36.5
2015-02-27,Charlotte,52,3.6346,0.0,38.0
2015-02-28,Charlotte,62,3.8226,0.0,36.5
2015-03-01,Charlotte,96,3.3646,0.16,35.5
2015-03-02,Charlotte,77,3.6623,0.0,54.5
2015-03-03,Charlotte,62,3.9194,0.06,45.5
2015-03-04,Charlotte,66,3.4242,0.0,55.5
2015-03-05,Charlotte,70,3.6571,0.54,52.0
2015-03-06,Charlotte,68,4.0147,0.0,34.5
2015-03-07,Charlotte,79,3.6329,0.0,42.0
2015-03-08,Charlotte,85,3.7059,0.0,51.5
2015-03-09,Charlotte,72,3.7083,0.01,58.0
2015-03-10,Charlotte,57,3.4737,0.0,65.5
2015-03-11,Charlotte,84,3.8214,0.15,70.5
2015-03-12,Charlotte,57,4.0,0.0,60.5
2015-03-13,Charlotte,63,3.3175,0.19,50.0
2015-03-14,Charlotte,71,3.6338,0.35,52.5
2015-03-15,Charlotte,99,3.6566,0.0,62.5
2015-03-16,Charlotte,83,3.4458,0.0,62.0
2015-03-17,Charlotte,71,3.7887,0.0,62.5
2015-03-18,Charlotte,55,3.9091,0.0,54.0
2015-03-19,Charlotte,59,3.4746,0.21,48.5
2015-03-20,Charlotte,63,3.619,0.0,50.0
2015-03-21,Charlotte,56,3.5357,0.0,55.5
2015-03-22,Charlotte,78,3.8205,0.01,62.0
2015-03-23,Charlotte,70,3.6571,0.0,58.0
2015-03-24,Charlotte,57,3.7018,0.0,58.5
2015-03-25,Charlotte,47,3.4681,0.01,61.5
2015-03-26,Charlotte,59,3.7797,0.0,65.0
2015-03-27,Charlotte,87,3.7471,0.24,54.0
2015-03-28,Charlotte,62,3.8387,0.0,42.5
2015-03-29,Charlotte,100,3.38,0.0,42.0
2015-03-30,Charlotte,69,3.913,0.26,54.5
2015-03-31,Charlotte,69,3.8116,0.0,56.0
2015-04-01,Charlotte,52,3.6538,0.0,61.0
2015-04-02,Charlotte,69,3.5217,0.04,65.5
2015-04-03,Charlotte,66,3.4091,0.0,70.0
2015-04-04,Charlotte,80,3.7375,0.0,58.0
2015-04-05,Charlotte,74,3.6351,0.0,51.5
2015-04-06,Charlotte,86,3.8953,0.0,64.0
2015-04-07,Charlotte,65,3.8,0.51,64.5
2015-04-08,Charlotte,67,3.7313,0.26,72.5
2015-04-09,Charlotte,75,3.4667,0.02,76.5
2015-04-10,Charlotte,72,3.5556,0.0,74.5
2015-04-11,Charlotte,85,3.6118,0.0,67.0
2015-04-12,Charlotte,73,3.3699,0.0,62.0
2015-04-13,Charlotte,80,3.425,0.11,66.0
2015-04-14,Charlotte,79,4.0253,0.16,72.5
2015-04-15,Charlotte,82,3.9512,1.26,57.5
2015-04-16,Charlotte,74,3.8649,0.4,50.5
2015-04-17,Charlotte,72,3.7778,0.03,61.5
2015-04-18,Charlotte,68,3.5735,0.04,69.5
2015-04-19,Charlotte,109,3.5138,2.65,66.5
2015-04-20,Charlotte,68,3.6471,0.47,67.0
2015-04-21,Charlotte,49,3.9796,0.0,58.0
2015-04-22,Charlotte,69,3.8696,0.0,60.0
2015-04-23,Charlotte,67,3.6269,0.0,61.5
2015-04-24,Charlotte,77,3.8442,0.0,54.0
2015-04-25,Charlotte,68,3.5147,0.19,56.0
2015-04-26,Charlotte,104,3.8077,0.0,53.0
2015-04-27,Charlotte,67,3.6567,0.0,55.0
2015-04-28,Charlotte,55,3.7636,0.0,53.5
2015-04-29,Charlotte,65,3.7385,0.0,54.5
2015-04-30,Charlotte,76,3.9342,0.0,62.5
2015-05-01,Charlotte,58,4.1379,0.0,57.0
2015-05-02,Charlotte,72,3.6111,0.0,60.5
2015-05-03,Charlotte,78,3.5,0.0,63.0
2015-05-04,Charlotte,71,3.7183,0.0,69.0
2015-05-05,Charlotte,72,3.8194,0.0,69.0
2015-05-06,Charlotte,67,3.4627,0.0,68.5
2015-05-07,Charlotte,56,3.7321,0.0,69.5
2015-05-08,Charlotte,63,3.9206,0.0,71.0
2015-05-09,Charlotte,78,3.6923,0.0,72.0
2015-05-10,Charlotte,99,3.7273,0.0,73.5
2015-05-11,Charlotte,82,3.378,0.0,75.5
2015-05-12,Charlotte,60,3.8167,0.0,77.0
2015-05-13,Charlotte,75,3.76,0.0,72.5
2015-05-14,Charlotte,81,3.8272,0.0,66.5
2015-05-15,Charlotte,42,3.7381,0.0,72.5
2015-05-16,Charlotte,77,3.6753,0.0,74.5
2015-05-17,Charlotte,104,3.5481,0.0,74.5
2015-05-18,Charlotte,84,3.5238,0.0,78.0
2015-05-19,Charlotte,61,3.3934,0.0,77.0
2015-05-20,Charlotte,68,3.2941,0.0,76.0
2015-05-21,Charlotte,75,3.3733,0.0,75.0
2015-05-22,Charlotte,58,3.8793,0.0,64.0
2015-05-23,Charlotte,83,3.6988,0.0,64.5
2015-05-24,Charlotte,86,3.8023,0.0,68.0
2015-05-25,Charlotte,86,3.8488,0.0,72.5
2015-05-26,Charlotte,81,3.9753,0.32,77.5
2015-05-27,Charlotte,76,3.6184,0.0,74.5
2015-05-28,Charlotte,63,3.5397,0.0,77.5
2015-05-29,Charlotte,79,3.5696,0.0,77.5
2015-05-30,Charlotte,102,3.8824,0.0,76.0
2015-05-31,Charlotte,77,3.7403,0.0,78.0
2015-06-01,Charlotte,85,3.5529,0.0,77.0
2015-06-02,Charlotte,69,3.6957,0.76,72.5
2015-06-03,Charlotte,75,3.52,0.02,65.5
2015-06-04,Charlotte,74,3.5811,0.0,69.0
2015-06-05,Charlotte,73,3.3973,0.0,71.5
2015-06-06,Charlotte,76,3.8684,0.0,76.0
2015-06-07,Charlotte,113,3.9204,0.17,78.0
2015-06-08,Charlotte,79,3.557,0.18,78.5
2015-06-09,Charlotte,87,3.9195,0.0,78.5
2015-06-10,Charlotte,102,3.7843,0.0,79.0
2015-06-11,Charlotte,61,4.0328,0.0,79.0
2015-06-12,Charlotte,64,3.5938,0.0,80.5
2015-06-13,Charlotte,89,3.8539,0.0,83.0
2015-06-14,Charlotte,111,3.5045,0.0,82.5
2015-06-15,Charlotte,92,3.6957,0.0,83.5
2015-06-16,Charlotte,67,3.597,0.0,84.0
2015-06-17,Charlotte,90,3.7556,0.0,86.0
2015-06-18,Charlotte,63,3.8571,0.0,87.0
2015-06-19,Charlotte,65,3.4923,0.0,84.0
2015-06-20,Charlotte,65,4.0615,0.01,83.0
2015-06-21,Charlotte,85,3.6353,0.0,84.0
2015-06-22,Charlotte,93,3.5161,0.0,82.5
2015-06-23,Charlotte,88,3.8295,0.0,86.5
2015-06-24,Charlotte,72,3.8472,0.0,87.5
2015-06-25,Charlotte,103,3.7961,0.0,86.0
2015-06-26,Charlotte,78,3.8077,1.21,85.0
2015-06-27,Charlotte,139,3.6978,0.55,81.5
2015-06-28,Charlotte,95,3.6842,0.0,75.5
