date,city,count_review,avg_stars,avg_diff_precip,avg_temp
2008-01-02,Pittsburgh,10,3.5,0.0279999990016222,31.0
2008-01-03,Pittsburgh,10,4.0,0.0,34.3
2008-01-04,Pittsburgh,10,4.5,0.0,37.1
2008-01-05,Pittsburgh,15,3.6667,0.01600000001490116,42.7
2008-01-07,Pittsburgh,5,5.0,0.10399999804794788,53.5
2008-01-09,Pittsburgh,15,3.0,0.03800000138580799,54.4
2008-01-10,Pittsburgh,30,4.3333,0.08799999952316284,46.4
2008-01-11,Pittsburgh,10,3.5,0.16800000332295895,49.1
2008-01-12,Pittsburgh,10,4.5,0.0,45.8
2008-01-13,Pittsburgh,5,5.0,0.04000000059604645,44.6
2008-01-14,Pittsburgh,15,3.3333,0.06599999964237213,43.2
2008-01-15,Pittsburgh,20,2.5,0.04999999888241291,38.6
2008-01-16,Pittsburgh,55,3.2727,0.003999999910593033,33.9
2008-01-17,Pittsburgh,70,3.6429,0.1720000047236681,35.2
2008-01-19,Pittsburgh,15,2.0,0.05400000214576721,35.7
2008-01-20,Pittsburgh,10,4.5,0.0,30.1
2008-01-21,Pittsburgh,70,3.8571,0.0,30.4
2008-01-22,Pittsburgh,30,3.8333,0.030000000447034835,35.4
2008-01-23,Pittsburgh,5,3.0,0.005999999865889549,35.5
2008-01-24,Pittsburgh,15,4.6667,0.017999999597668646,34.8
2008-01-25,Pittsburgh,35,4.1429,0.015999999642372132,32.6
2008-01-26,Pittsburgh,5,3.0,0.015999999642372132,36.5
2008-01-27,Pittsburgh,10,4.5,0.27400000058114526,38.3
2008-01-29,Pittsburgh,15,4.0,0.025999999791383743,45.1
2008-01-30,Pittsburgh,30,4.3333,0.06800000146031379,41.4
2008-01-31,Pittsburgh,15,4.3333,0.020000000298023225,34.3
2008-02-01,Pittsburgh,30,4.1667,0.42600000500679014,39.6
2008-02-02,Pittsburgh,10,5.0,0.16599999666213988,40.6
2008-02-03,Pittsburgh,45,4.0,0.010000000149011612,42.9
2008-02-04,Pittsburgh,35,3.7143,0.04399999864399433,44.3
2008-02-05,Pittsburgh,25,4.0,0.2680000104010105,48.1
2008-02-06,Pittsburgh,20,3.5,0.5000000037252903,48.5
2008-02-07,Pittsburgh,10,4.0,0.06000000014901161,45.6
2008-02-09,Pittsburgh,10,3.0,0.009999999776482582,48.1
2008-02-10,Pittsburgh,15,3.3333,0.03400000035762787,45.9
2008-02-11,Pittsburgh,40,3.375,0.0,37.1
2008-02-12,Pittsburgh,15,4.0,0.09800000190734863,41.2
2008-02-13,Pittsburgh,5,5.0,0.22199999690055847,41.7
2008-02-14,Pittsburgh,10,2.0,0.07799999713897705,32.7
2008-02-15,Pittsburgh,15,4.0,0.014000000059604644,39.8
2008-02-17,Pittsburgh,35,3.4286,0.16400000154972078,47.2
2008-02-18,Pittsburgh,25,4.0,0.03799999915063381,48.8
2008-02-20,Pittsburgh,10,2.5,0.024000000208616257,39.8
2008-02-21,Pittsburgh,15,4.0,0.07399999871850013,35.7
2008-02-22,Pittsburgh,5,3.0,0.11200000159442425,37.3
2008-02-23,Pittsburgh,5,3.0,0.04599999971687794,43.6
2008-02-24,Pittsburgh,5,3.0,0.0,41.8
2008-02-25,Pittsburgh,25,3.4,0.0,44.5
2008-02-27,Pittsburgh,10,3.5,0.2280000001192093,35.5
2008-02-28,Pittsburgh,5,3.0,0.020000000298023225,34.9
2008-02-29,Pittsburgh,15,4.3333,0.023999999463558196,43.6
2008-03-02,Pittsburgh,35,3.8571,0.0,45.3
2008-03-03,Pittsburgh,20,4.0,0.09399999976158142,49.4
2008-03-04,Pittsburgh,10,4.0,0.4179999865591526,53.0
2008-03-06,Pittsburgh,5,4.0,0.0,44.9
2008-03-07,Pittsburgh,5,4.0,0.16800000071525573,47.0
2008-03-08,Pittsburgh,20,4.25,0.21000000163912774,44.4
2008-03-09,Pittsburgh,10,4.0,0.051999998092651364,41.5
2008-03-10,Pittsburgh,20,3.25,0.0019999999552965165,46.0
2008-03-11,Pittsburgh,10,3.5,0.03200000002980232,48.6
2008-03-13,Pittsburgh,10,5.0,0.0,53.0
2008-03-15,Pittsburgh,25,3.2,0.42399999499320984,51.0
2008-03-16,Pittsburgh,30,3.3333,0.007999999821186066,46.2
2008-03-17,Pittsburgh,10,2.5,0.010000000149011612,44.9
2008-03-18,Pittsburgh,25,3.2,0.08199999928474426,50.1
2008-03-19,Pittsburgh,20,2.25,0.4420000076293945,55.8
2008-03-20,Pittsburgh,5,5.0,0.11399999856948853,53.9
2008-03-21,Pittsburgh,5,4.0,0.07599999904632568,50.1
2008-03-22,Pittsburgh,5,1.0,0.057999998331069946,51.3
2008-03-24,Pittsburgh,25,3.4,0.0,48.1
2008-03-26,Pittsburgh,10,3.5,0.0,54.9
2008-03-27,Pittsburgh,5,5.0,0.18200000524520873,58.0
2008-03-28,Pittsburgh,10,4.5,0.13199999928474426,56.1
2008-03-29,Pittsburgh,20,3.0,0.013999999687075614,51.3
2008-03-30,Pittsburgh,5,3.0,0.011999999731779098,50.5
2008-03-31,Pittsburgh,40,3.25,0.04000000022351742,53.4
2008-04-01,Pittsburgh,10,4.0,0.03200000002980232,58.9
2008-04-02,Pittsburgh,10,5.0,0.0,56.7
2008-04-03,Pittsburgh,10,4.0,0.09600000232458114,54.0
2008-04-04,Pittsburgh,10,4.0,0.28200000077486037,55.1
2008-04-05,Pittsburgh,35,4.2857,0.16800000071525573,58.8
2008-04-06,Pittsburgh,15,3.0,0.003999999910593033,58.7
2008-04-08,Pittsburgh,10,4.0,0.0,60.7
2008-04-09,Pittsburgh,10,4.5,0.003999999910593033,60.0
2008-04-10,Pittsburgh,15,2.3333,0.009999999776482582,59.3
2008-04-11,Pittsburgh,10,4.0,0.20199999809265137,63.3
2008-04-12,Pittsburgh,5,3.0,0.08400000184774399,60.3
2008-04-13,Pittsburgh,10,4.0,0.030000000447034835,57.3
2008-04-14,Pittsburgh,5,5.0,0.02800000086426735,56.1
2008-04-15,Pittsburgh,50,4.4,0.0,55.8
2008-04-16,Pittsburgh,25,4.2,0.0,56.2
2008-04-17,Pittsburgh,10,4.0,0.0,59.3
2008-04-19,Pittsburgh,10,3.5,0.04999999962747097,66.4
2008-04-20,Pittsburgh,10,4.0,0.06399999782443047,63.4
2008-04-21,Pittsburgh,15,4.3333,0.025999999046325682,62.0
2008-04-22,Pittsburgh,30,4.6667,0.0,65.2
2008-04-23,Pittsburgh,5,4.0,0.0,65.9
2008-04-24,Pittsburgh,15,4.6667,0.03600000143051148,64.3
2008-04-27,Pittsburgh,30,4.3333,0.007999999821186066,67.1
2008-04-28,Pittsburgh,10,3.5,0.30400000512599945,64.4
2008-04-29,Pittsburgh,35,4.0,0.058000002056360245,60.9
2008-04-30,Pittsburgh,35,3.7143,0.0,59.2
