date,city,count_review,avg_stars,avg_diff_precip,avg_temp
2008-01-01,Charlotte,5,3.0,0.0,41.5
2008-01-02,Charlotte,5,1.0,0.0,29.0
2008-01-04,Charlotte,20,3.75,0.0,30.0
2008-01-05,Charlotte,5,4.0,0.0,39.0
2008-01-08,Charlotte,5,4.0,0.0,56.0
2008-01-10,Charlotte,10,3.0,0.25,52.0
2008-01-13,Charlotte,5,3.0,0.0,42.0
2008-01-15,Charlotte,5,3.0,0.0,34.0
2008-01-16,Charlotte,5,2.0,0.0,31.5
2008-01-19,Charlotte,15,4.6667,0.27,38.0
2008-01-20,Charlotte,20,3.0,0.0,27.0
2008-01-21,Charlotte,20,4.0,0.0,27.0
2008-01-26,Charlotte,15,3.6667,0.0,40.0
2008-01-28,Charlotte,5,5.0,0.0,40.5
2008-01-29,Charlotte,15,4.3333,0.02,55.0
2008-01-31,Charlotte,15,4.0,0.1,41.0
2008-02-01,Charlotte,20,3.75,1.21,44.5
2008-02-02,Charlotte,10,2.0,0.0,43.0
2008-02-03,Charlotte,10,5.0,0.0,49.0
2008-02-08,Charlotte,10,3.5,0.0,46.0
2008-02-11,Charlotte,10,3.0,0.0,40.0
2008-02-12,Charlotte,5,3.0,0.09,43.5
2008-02-13,Charlotte,5,3.0,0.41,43.0
2008-02-14,Charlotte,5,2.0,0.0,38.0
2008-02-15,Charlotte,20,3.5,0.0,46.0
2008-02-16,Charlotte,10,2.0,0.0,53.0
2008-02-18,Charlotte,15,3.6667,0.03,55.0
2008-02-20,Charlotte,15,4.0,0.0,47.5
2008-02-21,Charlotte,5,5.0,0.24,41.5
2008-02-22,Charlotte,5,3.0,0.08,37.5
2008-02-24,Charlotte,5,4.0,0.0,44.0
2008-02-26,Charlotte,25,3.8,0.54,51.5
2008-02-27,Charlotte,5,5.0,0.0,34.0
2008-02-28,Charlotte,5,3.0,0.0,30.5
2008-03-01,Charlotte,20,2.75,0.0,52.0
2008-03-02,Charlotte,25,4.4,0.0,49.0
2008-03-03,Charlotte,15,4.3333,0.0,55.0
2008-03-04,Charlotte,35,3.2857,1.31,61.5
2008-03-05,Charlotte,15,3.0,0.0,52.5
2008-03-06,Charlotte,10,3.5,0.0,51.0
2008-03-08,Charlotte,10,2.5,0.06,45.5
2008-03-10,Charlotte,5,1.0,0.0,47.5
2008-03-12,Charlotte,10,4.5,0.0,52.5
2008-03-13,Charlotte,20,3.75,0.0,56.0
2008-03-15,Charlotte,15,3.6667,1.78,55.5
2008-03-16,Charlotte,5,5.0,0.0,53.0
2008-03-17,Charlotte,30,4.0,0.0,47.5
2008-03-18,Charlotte,20,3.5,0.0,51.5
2008-03-19,Charlotte,20,3.75,0.72,64.0
2008-03-20,Charlotte,5,5.0,0.0,54.0
2008-03-21,Charlotte,5,5.0,0.0,50.5
2008-03-23,Charlotte,10,3.5,0.0,49.5
2008-03-24,Charlotte,15,3.0,0.0,43.5
2008-03-26,Charlotte,10,4.0,0.0,56.0
2008-03-27,Charlotte,10,2.5,0.0,61.5
2008-03-30,Charlotte,15,4.3333,0.0,44.0
2008-03-31,Charlotte,20,3.5,0.14,45.5
2008-04-01,Charlotte,20,4.25,0.07,62.0
2008-04-02,Charlotte,10,2.5,0.0,61.0
2008-04-03,Charlotte,5,4.0,0.36,49.5
