date,city,business,avg_stars,diff_precip,avg_temp
2015-01-02,Charlotte,"""""""Starbucks""""""",2.0,0.0,37.0
2015-01-04,Charlotte,"""""""Starbucks""""""",5.0,0.0,41.0
2015-01-08,Charlotte,"""""""Starbucks""""""",5.0,0.0,56.0
2015-01-13,Charlotte,"""""""Starbucks""""""",4.0,0.0,53.0
2015-01-18,Charlotte,"""""""Starbucks""""""",1.0,0.0,52.0
2015-01-19,Charlotte,"""""""Starbucks""""""",2.3333,0.0,54.0
2015-01-24,Charlotte,"""""""Starbucks""""""",5.0,0.0,58.0
2015-01-31,Charlotte,"""""""Starbucks""""""",4.0,0.07,56.0
2015-02-04,Charlotte,"""""""Starbucks""""""",5.0,0.0,58.0
2015-02-08,Charlotte,"""""""Starbucks""""""",3.0,0.0,63.5
2015-02-12,Charlotte,"""""""Starbucks""""""",5.0,0.0,59.0
2015-02-13,Charlotte,"""""""Starbucks""""""",1.0,0.0,63.5
2015-02-14,Charlotte,"""""""Starbucks""""""",5.0,0.0,62.5
2015-02-15,Charlotte,"""""""Starbucks""""""",5.0,0.0,64.0
2015-02-19,Charlotte,"""""""Starbucks""""""",3.0,0.0,60.5
2015-02-23,Charlotte,"""""""Starbucks""""""",5.0,0.44,43.0
2015-02-25,Charlotte,"""""""Starbucks""""""",4.0,0.0,55.5
2015-03-01,Charlotte,"""""""Starbucks""""""",1.0,0.25,51.0
2015-03-03,Charlotte,"""""""Starbucks""""""",4.0,0.03,48.0
2015-03-09,Charlotte,"""""""Starbucks""""""",4.5,0.0,65.5
2015-03-10,Charlotte,"""""""Starbucks""""""",4.0,0.0,63.0
2015-03-12,Charlotte,"""""""Starbucks""""""",4.0,0.0,64.5
2015-03-18,Charlotte,"""""""Starbucks""""""",5.0,0.0,69.0
2015-03-26,Charlotte,"""""""Starbucks""""""",1.0,0.0,67.5
2015-03-29,Charlotte,"""""""Starbucks""""""",4.3333,0.0,74.5
2015-04-01,Charlotte,"""""""Starbucks""""""",3.0,0.0,72.5
2015-04-03,Charlotte,"""""""Starbucks""""""",5.0,0.0,61.5
2015-04-13,Charlotte,"""""""Starbucks""""""",5.0,0.0,73.0
2015-04-15,Charlotte,"""""""Starbucks""""""",3.0,0.0,58.0
2015-04-16,Charlotte,"""""""Starbucks""""""",2.5,0.0,61.5
2015-04-17,Charlotte,"""""""Starbucks""""""",1.0,0.0,66.5
2015-05-04,Charlotte,"""""""Starbucks""""""",5.0,0.0,73.5
2015-05-05,Charlotte,"""""""Starbucks""""""",4.0,0.0,73.5
2015-05-08,Charlotte,"""""""Starbucks""""""",4.0,0.0,57.5
2015-05-10,Charlotte,"""""""Starbucks""""""",4.5,0.0,69.0
2015-05-11,Charlotte,"""""""Starbucks""""""",3.0,0.0,74.0
2015-05-12,Charlotte,"""""""Starbucks""""""",4.0,0.0,76.5
2015-05-14,Charlotte,"""""""Starbucks""""""",3.0,0.0,65.5
2015-05-15,Charlotte,"""""""Starbucks""""""",4.0,0.0,61.5
2015-05-17,Charlotte,"""""""Starbucks""""""",1.0,0.0,69.0
2015-05-20,Charlotte,"""""""Starbucks""""""",4.0,0.0,72.0
2015-05-22,Charlotte,"""""""Starbucks""""""",5.0,0.0,66.0
2015-05-25,Charlotte,"""""""Starbucks""""""",5.0,0.0,73.0
2015-05-26,Charlotte,"""""""Starbucks""""""",1.0,0.0,80.0
2015-05-28,Charlotte,"""""""Starbucks""""""",2.0,0.0,83.0
2015-06-01,Charlotte,"""""""Starbucks""""""",3.0,0.0,87.0
2015-06-02,Charlotte,"""""""Starbucks""""""",4.0,0.0,82.0
2015-06-08,Charlotte,"""""""Starbucks""""""",3.0,0.0,86.5
2015-06-12,Charlotte,"""""""Starbucks""""""",1.0,0.0,89.0
2015-06-13,Charlotte,"""""""Starbucks""""""",4.0,0.0,92.0
2015-06-15,Charlotte,"""""""Starbucks""""""",3.0,0.0,93.5
2015-06-16,Charlotte,"""""""Starbucks""""""",4.0,0.0,94.0
2015-06-19,Charlotte,"""""""Starbucks""""""",3.0,0.0,92.5
2015-06-22,Charlotte,"""""""Starbucks""""""",4.0,0.0,93.0
2015-06-25,Charlotte,"""""""Starbucks""""""",1.0,0.0,94.0
2015-06-26,Charlotte,"""""""Starbucks""""""",5.0,0.0,99.5
2015-06-27,Charlotte,"""""""Starbucks""""""",4.0,0.0,99.0
2015-07-01,Charlotte,"""""""Starbucks""""""",2.0,0.0,96.5
2015-07-06,Charlotte,"""""""Starbucks""""""",2.0,0.0,87.0
2015-07-07,Charlotte,"""""""Starbucks""""""",2.0,0.0,87.0
2015-07-10,Charlotte,"""""""Starbucks""""""",3.0,0.0,82.0
2015-07-11,Charlotte,"""""""Starbucks""""""",5.0,0.0,84.0
2015-07-14,Charlotte,"""""""Starbucks""""""",2.0,0.0,89.5
2015-07-15,Charlotte,"""""""Starbucks""""""",4.0,0.0,87.5
2015-07-17,Charlotte,"""""""Starbucks""""""",5.0,0.0,90.5
2015-07-18,Charlotte,"""""""Starbucks""""""",5.0,0.0,85.5
2015-07-19,Charlotte,"""""""Starbucks""""""",2.5,0.0,83.0
2015-07-23,Charlotte,"""""""Starbucks""""""",5.0,0.0,88.0
2015-07-26,Charlotte,"""""""Starbucks""""""",5.0,0.0,88.0
2015-08-10,Charlotte,"""""""Starbucks""""""",2.5,0.0,91.0
2015-08-16,Charlotte,"""""""Starbucks""""""",5.0,0.0,96.0
2015-08-17,Charlotte,"""""""Starbucks""""""",3.0,0.0,95.5
2015-08-18,Charlotte,"""""""Starbucks""""""",5.0,0.0,95.0
2015-08-19,Charlotte,"""""""Starbucks""""""",3.0,0.0,93.5
2015-08-21,Charlotte,"""""""Starbucks""""""",1.0,0.0,92.5
2015-08-23,Charlotte,"""""""Starbucks""""""",2.6667,0.0,92.0
2015-08-27,Charlotte,"""""""Starbucks""""""",3.0,0.0,90.0
2015-08-28,Charlotte,"""""""Starbucks""""""",1.0,0.0,91.5
2015-08-30,Charlotte,"""""""Starbucks""""""",4.0,0.0,92.5
2015-09-11,Charlotte,"""""""Starbucks""""""",2.0,0.0,90.5
2015-09-13,Charlotte,"""""""Starbucks""""""",3.0,0.0,89.0
2015-09-17,Charlotte,"""""""Starbucks""""""",3.0,0.0,77.0
2015-09-19,Charlotte,"""""""Starbucks""""""",1.0,0.0,80.5
2015-09-28,Charlotte,"""""""Starbucks""""""",3.0,0.0,87.5
2015-10-03,Charlotte,"""""""Starbucks""""""",1.0,0.0,76.5
2015-10-05,Charlotte,"""""""Starbucks""""""",4.0,0.55,62.5
2015-10-06,Charlotte,"""""""Starbucks""""""",2.0,0.0,67.0
2015-10-07,Charlotte,"""""""Starbucks""""""",4.0,0.0,73.0
2015-10-08,Charlotte,"""""""Starbucks""""""",1.0,0.0,81.0
2015-10-09,Charlotte,"""""""Starbucks""""""",3.0,0.0,82.5
2015-10-10,Charlotte,"""""""Starbucks""""""",2.5,0.0,80.5
2015-10-12,Charlotte,"""""""Starbucks""""""",4.0,0.0,81.5
2015-10-14,Charlotte,"""""""Starbucks""""""",4.0,0.0,80.5
2015-10-16,Charlotte,"""""""Starbucks""""""",1.0,0.12,72.0
2015-10-19,Charlotte,"""""""Starbucks""""""",4.0,0.0,65.5
2015-10-20,Charlotte,"""""""Starbucks""""""",2.0,0.0,68.0
2015-10-23,Charlotte,"""""""Starbucks""""""",1.0,0.0,71.0
2015-10-26,Charlotte,"""""""Starbucks""""""",2.0,0.0,68.0
2015-10-28,Charlotte,"""""""Starbucks""""""",4.0,0.0,69.0
2015-10-29,Charlotte,"""""""Starbucks""""""",1.5,0.0,64.0
2015-10-30,Charlotte,"""""""Starbucks""""""",5.0,0.0,66.5
2015-10-31,Charlotte,"""""""Starbucks""""""",3.0,0.0,68.5
2015-11-06,Charlotte,"""""""Starbucks""""""",4.0,0.0,54.5
2015-11-07,Charlotte,"""""""Starbucks""""""",4.6667,0.0,54.0
2015-11-09,Charlotte,"""""""Starbucks""""""",3.0,0.0,57.5
2015-11-11,Charlotte,"""""""Starbucks""""""",3.0,0.0,52.0
2015-11-12,Charlotte,"""""""Starbucks""""""",3.0,0.0,52.0
2015-11-13,Charlotte,"""""""Starbucks""""""",5.0,0.0,56.5
2015-11-14,Charlotte,"""""""Starbucks""""""",1.0,0.0,55.0
2015-11-17,Charlotte,"""""""Starbucks""""""",4.0,0.0,50.0
2015-11-18,Charlotte,"""""""Starbucks""""""",3.0,0.0,51.5
2015-11-20,Charlotte,"""""""Starbucks""""""",2.0,0.0,60.5
2015-11-21,Charlotte,"""""""Starbucks""""""",4.0,0.0,56.5
2015-11-22,Charlotte,"""""""Starbucks""""""",3.0,0.0,53.5
2015-11-25,Charlotte,"""""""Starbucks""""""",3.0,0.0,50.5
2015-12-02,Charlotte,"""""""Starbucks""""""",5.0,0.0,46.5
2015-12-03,Charlotte,"""""""Starbucks""""""",4.0,0.0,47.5
2015-12-05,Charlotte,"""""""Starbucks""""""",4.0,0.0,49.0
2015-12-07,Charlotte,"""""""Starbucks""""""",3.5,0.0,50.5
2015-12-11,Charlotte,"""""""Starbucks""""""",2.5,0.0,52.0
2015-12-27,Charlotte,"""""""Starbucks""""""",3.0,0.0,36.5
2015-12-29,Charlotte,"""""""Starbucks""""""",4.0,0.0,41.5
2015-12-30,Charlotte,"""""""Starbucks""""""",2.0,0.0,38.0
2016-01-02,Charlotte,"""""""Starbucks""""""",3.0,0.0,43.5
2016-01-04,Charlotte,"""""""Starbucks""""""",4.0,0.02,49.0
2016-01-07,Charlotte,"""""""Starbucks""""""",1.0,0.0,47.0
2016-01-09,Charlotte,"""""""Starbucks""""""",5.0,0.0,43.5
2016-01-10,Charlotte,"""""""Starbucks""""""",3.0,0.0,45.5
2016-01-11,Charlotte,"""""""Starbucks""""""",3.0,0.0,42.5
2016-01-15,Charlotte,"""""""Starbucks""""""",2.0,0.0,46.5
2016-01-20,Charlotte,"""""""Starbucks""""""",3.0,0.0,51.5
2016-01-21,Charlotte,"""""""Starbucks""""""",3.0,0.0,47.5
2016-01-22,Charlotte,"""""""Starbucks""""""",4.0,0.0,48.0
2016-01-29,Charlotte,"""""""Starbucks""""""",1.0,0.0,52.5
2016-01-31,Charlotte,"""""""Starbucks""""""",5.0,0.14,50.5
2016-02-02,Charlotte,"""""""Starbucks""""""",5.0,0.0,38.5
2016-02-03,Charlotte,"""""""Starbucks""""""",1.0,0.0,39.5
2016-02-09,Charlotte,"""""""Starbucks""""""",4.0,0.0,59.0
2016-02-11,Charlotte,"""""""Starbucks""""""",3.0,0.0,58.5
2016-02-12,Charlotte,"""""""Starbucks""""""",4.0,0.0,58.5
2016-02-14,Charlotte,"""""""Starbucks""""""",1.0,0.0,62.0
2016-02-15,Charlotte,"""""""Starbucks""""""",1.0,0.0,67.5
2016-02-16,Charlotte,"""""""Starbucks""""""",1.0,0.0,63.0
2016-02-20,Charlotte,"""""""Starbucks""""""",2.0,0.0,60.5
2016-02-23,Charlotte,"""""""Starbucks""""""",2.5,0.0,55.0
2016-02-25,Charlotte,"""""""Starbucks""""""",2.5,0.0,60.0
2016-03-03,Charlotte,"""""""Starbucks""""""",5.0,0.0,66.5
2016-03-05,Charlotte,"""""""Starbucks""""""",1.0,0.0,69.5
2016-03-07,Charlotte,"""""""Starbucks""""""",3.0,0.0,50.5
2016-03-09,Charlotte,"""""""Starbucks""""""",5.0,0.0,63.5
2016-03-12,Charlotte,"""""""Starbucks""""""",2.0,0.0,57.0
2016-03-13,Charlotte,"""""""Starbucks""""""",4.0,0.0,59.5
2016-03-14,Charlotte,"""""""Starbucks""""""",4.0,0.0,60.5
2016-03-18,Charlotte,"""""""Starbucks""""""",5.0,0.0,69.0
2016-03-20,Charlotte,"""""""Starbucks""""""",5.0,0.0,70.0
2016-03-21,Charlotte,"""""""Starbucks""""""",2.5,0.0,72.5
2016-03-27,Charlotte,"""""""Starbucks""""""",3.0,0.0,59.0
2016-03-31,Charlotte,"""""""Starbucks""""""",4.0,0.0,61.0
2016-04-03,Charlotte,"""""""Starbucks""""""",5.0,0.0,69.5
2016-04-05,Charlotte,"""""""Starbucks""""""",4.0,0.0,75.5
2016-04-07,Charlotte,"""""""Starbucks""""""",1.0,0.0,75.0
2016-04-12,Charlotte,"""""""Starbucks""""""",5.0,0.0,65.0
2016-04-13,Charlotte,"""""""Starbucks""""""",4.0,0.0,69.0
2016-04-14,Charlotte,"""""""Starbucks""""""",2.0,0.0,71.5
2016-04-15,Charlotte,"""""""Starbucks""""""",3.0,0.0,64.5
2016-04-16,Charlotte,"""""""Starbucks""""""",4.0,0.0,67.5
2016-04-17,Charlotte,"""""""Starbucks""""""",3.0,0.0,68.5
2016-04-20,Charlotte,"""""""Starbucks""""""",4.0,0.0,74.5
2016-04-23,Charlotte,"""""""Starbucks""""""",3.0,0.0,68.5
2016-04-25,Charlotte,"""""""Starbucks""""""",5.0,0.02,58.0
2016-04-26,Charlotte,"""""""Starbucks""""""",2.5,0.0,64.0
2016-04-27,Charlotte,"""""""Starbucks""""""",3.3333,0.0,65.0
2016-04-28,Charlotte,"""""""Starbucks""""""",5.0,0.24,59.0
2016-04-29,Charlotte,"""""""Starbucks""""""",2.0,0.0,63.5
2016-05-03,Charlotte,"""""""Starbucks""""""",3.0,0.0,72.0
2016-05-04,Charlotte,"""""""Starbucks""""""",4.0,0.0,77.0
2016-05-09,Charlotte,"""""""Starbucks""""""",1.0,0.0,72.5
2016-05-10,Charlotte,"""""""Starbucks""""""",5.0,0.0,76.0
2016-05-11,Charlotte,"""""""Starbucks""""""",4.0,0.0,77.0
2016-05-21,Charlotte,"""""""Starbucks""""""",4.0,0.0,68.0
2016-05-24,Charlotte,"""""""Starbucks""""""",3.0,0.0,70.5
2016-05-27,Charlotte,"""""""Starbucks""""""",2.0,0.0,76.5
